Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Aberdeenshire,Aberchirder Library,111 Main Street ,,Huntly,AB54 7TB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Aboyne Library,Community Centre,,Bridgeview Road,AB34 5JN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Alford Library,Alford Community Campus,,Greystone Road ,AB33 8TY,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Ballater Library,Station Square,,Ballater,AB35 5QB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Balmedie Library,Elgie Road,,Balmedie,AB23 8YF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Banchory Library,Bridge Street,,Banchory,AB31 5SU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Banff Library,High Street,,Banff,AB45 1AE,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.aberdeenshire.gov.uk/libraries/index.asp,
Aberdeenshire,Boddam Library,26 Queens Road,,Boddam,AB42 3AX,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Bracoden Library,Bracoden School,,Gamrie,AB45 3HA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Cairnbulg Library,Station Road,,Cairnbulg,AB43 8WQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Cruden Bay Library,Station Road,,Cruden Bay,AB42 0NL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Ellon Library,Station Road,,Ellon,AB41 9AE,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Fettercairn Library,Fettercairn School,,Distillery Road,AB30 1TH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Fraserburgh Library,King Edward Street,,Fraserburgh,AB43 9PN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Huntly Library,The Square,,Huntly,AB54 8BR,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Insch Library,Rannes Street,,Insch,AB52 6JJ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Inverbervie Library,Church Street,,Inverbervie,DD10 0RU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Inverurie Library,Town Hall ,,Market Place,AB51 3SN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Kemnay Library,Kendal Road,,Kemnay,AB51 5RN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Kintore Library,Castle Walk,,Kintore,AB51 0RU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Macduff Library,17 High Street,,Macduff,AB44 1LR,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Mearns Community Campus Library,Aberdeen Road ,,Laurencekirk,AB30 1ZJ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Meldrum Library,Colpy Road,,Oldmeldrum,AB51 0NT,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Mintlaw Library,Newlands Road,,Mintlaw,AB42 5GP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Newmachar Library,School Road,,Newmachar,AB21 0WB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,New Pitsligo Library,79 High Street,,New Pitsligo,AB43 6NH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Newtonhill Library,Coastal Car Park,,Newtonhill,AB39 3UL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Peterhead Llibrary,51 St Peter Street ,,Peterhead,AB42 1QD,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Portlethen Library,Bruntland Road,,Portlthen,AB12 4QL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Portsoy Library,Arid Green,,Portsoy,AB45 2RH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Rosehearty Library ,Pitsligo Street,,Rosehearty,AB43 7JL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Stonehaven Library,Evan Street,,Stonehaven,AB39 2ET,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Strichen Library ,59a Water Street ,,Fraserburgh,AB43 6ST,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Turriff Library,Grange Villa ,,The Square,AB53 4AE,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Westhill Library,Westhill Drive,,Westhill ,AB32 6FY,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
Aberdeenshire,Whitehills Library,Loch Street,,Whitehills,AB45 2LT,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.aberdeenshire.gov.uk/libraries/,
