Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Birmingham,Acocks Green Library,Shirley Road,Birmingham,West Midlands,B27 7XH,,No,LAL,,,11:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,acocks.green.library@birmingham.gov.uk
Birmingham,Aston Library,99 Whitehead Road,Birmingham,West Midlands,B6 6EJ,,No,LAL,,,00:00-00:00,15:00-16:45,00:00-00:00,15:00-16:45,00:00-00:00,09:00-16:45,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Birmingham Adult Education Service,Closed for lunch 1-2pm on Saturdays,https://www.birmingham.gov.uk/info/20087/libraries,aston.library@birmingham.gov.uk
Birmingham,Balsall Heath Library,Moseley Road,Birmingham,West Midlands,B12 9BX,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,10:00-18:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,balsall.heath.library@birmingham.gov.uk
Birmingham,Bartley Green Library,Adams Hill,Birmingham,West Midlands,B32 3QG,,No,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Bartley Green Community Hub,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,bartley.green.library@birmingham.gov.uk
Birmingham,Birchfield Library,Trinity Road,Birmingham,West Midlands,B6 6AH,,No,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,10:00-18:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,birchfield.library@birmingham.gov.uk
Birmingham,Birmingham Central,,,,B3 3HQ,10091553260,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Birmingham,Bloomsbury Library,"The POD Oliver Street, Nechells Parkway",Birmingham,West Midlands,B7 4NX,,No,CL,,,09:00-16:00,09:00-17:00,09:00-17:00,09:00-16:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,The POD,"Closed for lunch, Tues & Weds 1-1.30pm",https://www.birmingham.gov.uk/info/20087/libraries,bloomsbury.library@birmingham.gov.uk
Birmingham,Boldmere Library,119 Boldmere Road,Birmingham,West Midlands,B73 5TU,,No,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,boldmere.library@birmingham.gov.uk
Birmingham,Castle Vale Library,10 High Street,Birmingham,West Midlands,B35 7PR,,No,CRL,,,09:00-17:00,09:00-17:00,00:00-00:00,09:00-18:00,00:00-00:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,castle.vale.library@birmingham.gov.uk
Birmingham,Cocks Moors Woods Neighbourhood Library,,,,B14 6ER,,No,LAL,,2010,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
