Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Birmingham City Council,Acocks Green Library,Shirley Road,Birmingham,West Midlands,B27 7XH,,Yes,LAL,,,11:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,acocks.green.library@birmingham.gov.uk
Birmingham City Council,Aston Library,99 Whitehead Road,Birmingham,West Midlands,B6 6EJ,,Yes,LAL,,,00:00-00:00,15:00-16:45,00:00-00:00,15:00-16:45,00:00-00:00,09:00-16:45,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Birmingham Adult Education Service,Closed for lunch 1-2pm on Saturdays,https://www.birmingham.gov.uk/info/20087/libraries,aston.library@birmingham.gov.uk
Birmingham City Council,Balsall Heath Library,Moseley Road,Birmingham,West Midlands,B12 9BX,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,10:00-18:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,balsall.heath.library@birmingham.gov.uk
Birmingham City Council,Bartley Green Library,Adams Hill,Birmingham,West Midlands,B32 3QG,,Yes,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Bartley Green Community Hub,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,bartley.green.library@birmingham.gov.uk
Birmingham City Council,Birchfield Library,Trinity Road,Birmingham,West Midlands,B6 6AH,,Yes,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,10:00-18:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,birchfield.library@birmingham.gov.uk
Birmingham City Council,Birmingham Central,,,,B3 3HQ,10091553260,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Birmingham City Council,Bloomsbury Library,"The POD Oliver Street, Nechells Parkway",Birmingham,West Midlands,B7 4NX,,Yes,CL,,,09:00-16:00,09:00-17:00,09:00-17:00,09:00-16:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,The POD,"Closed for lunch, Tues & Weds 1-1.30pm",https://www.birmingham.gov.uk/info/20087/libraries,bloomsbury.library@birmingham.gov.uk
Birmingham City Council,Boldmere Library,119 Boldmere Road,Birmingham,West Midlands,B73 5TU,,Yes,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,boldmere.library@birmingham.gov.uk
Birmingham City Council,Castle Vale Library,10 High Street,Birmingham,West Midlands,B35 7PR,,Yes,CRL,,,09:00-17:00,09:00-17:00,00:00-00:00,09:00-18:00,00:00-00:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed for lunch 1-2pm,https://www.birmingham.gov.uk/info/20087/libraries,castle.vale.library@birmingham.gov.uk
Birmingham City Council,Cocks Moors Woods Neighbourhood Library,,,,B14 6ER,,No,LAL,,2010,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
