Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
"Bournemouth, Christchurch and Poole",Boscombe Library,Hawkwood Road,Bournemouth,Dorset,BH5 1BY,10022904945,No,LAL,,,10:00-19:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/BoscombeLibrary.aspx,boscombe@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Bournemouth Library,22 The Triangle,Bournemouth,Dorset,BH2 5RQ,10014276961,No,LAL,,,10:00-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Citizen's Advice,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/BournemouthLibrary.aspx,bournemouth@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Branksome Library,212 Ashley Road,Poole,Dorset,BH14 9BY,10001092636,No,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,00:00-00:00,10:00-18:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/branksome-library/,branksomelibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Broadstone Library,10 Story Lane,Poole,Dorset,BH18 8EQ,100041095775,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/broadstone-library/,broadstonelibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Canford Cliffs Library,Weston Road,Poole,Dorset,BH13 7BN,100041091145,No,LAL,,,10:00-18:00,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/canford-cliffs-library/,canfordcliffslibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Canford Heath Library,Mitchell Road,Poole,Dorset,BH17 8UE,100041056196,No,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-18:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/canford-heath-library/,canfordheathlibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Castlepoint Library,Castle Lane West,Bournemouth,Dorset,BH8 9UP,10013450576,No,LAL,,,10:00-19:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Housing Services,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/CastlepointLibrary.aspx,castlepoint@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Charminster Library,Strouden Avenue,Bournemouth,Dorset,BH8 9HT,100041112456,No,LAL,,,10:00-17:00,09:30-19:00,00:00-00:00,09:30-19:00,09:30-19:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/CharminsterLibrary.aspx,charminster@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Christchurch,Druitt Buildings High Street,Christchurch,Dorset,BH23 1AW,100041102406,No,LAL,,,09:30-17:30,10:00-19:00,09:30-13:00,09:30-19:00,09:30-17:30,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Skills & Learning & Citizen's Advice,,https://www.christchurch.gov.uk/libraries-history-culture/libraries/christchurch-library-and-learning-centre.aspx,christchurchlibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Creekmoor Library,34 Northmead Drive,Poole,Dorset,BH17 7XZ,10001092208,No,LAL,,,10:00-18:00,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Stour Valley & Poole Partnership,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/creekmoor-library/,creekmoorlibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Ensbury Park,31 Columbia Road,Bournemouth,Dorset,BH10 4DZ,100041087055,No,LAL,,,00:00-00:00,10:00-19:00,00:00-00:00,10:00-13:00,14:00-19:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed Tuesday lunchtime 1-2pm,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/EnsburyPark.aspx,ensburypark@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Hamworthy Library,Blandford Road,Poole,Dorset,BH15 4BG,10090374943,No,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/hamworthy-community-library/,Hamworthylibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Highcliffe,Gordon Road,Highcliffe,Dorset,BH23 5HN,100041046870,No,LAL,,,10:00-18:30,09:30-17:00,00:00-00:00,09:30-13:00,09:30-18:30,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.christchurch.gov.uk/libraries-history-culture/libraries/highcliffe-library.aspx,HighcliffeLibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Kinson Hub,"The Kinson Hub, Wimborne Road",Bournemouth,Dorset,BH11 9AW,10023870600,No,LAL,,,10:00-19:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Aspire Adoption & Housing Services,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/KinsonHub.aspx,kinson@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole",Oakdale Library,Wimborne Road,Poole,Dorset,BH15 3EF,100041057186,No,LAL,,,10:00-18:00,10:00-17:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/oakdale-library/,Oakdalelibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole",Parkstone Library,Britannia Road,Poole,Dorset,BH14 8AZ,100041055355,No,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,00:00-00:00,10:00-18:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Poole Flying Boats,,https://www.poole.gov.uk/libraries-museums-art-and-culture/libraries/your-libraries/parkstone-library/,parkstonelibrary@bcpcouncil.gov.uk
