Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Brent,Barham Community Library,660 Harrow Road,Wembley,Middlesex,HA0 2HB,,No,ICL,,,10:30-17:30,10:30-17:30,14:30-17:30,00:00-00:00,00:00-00:00,14:30-17:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Brent,Cricklewood,152 Olive Road,London,Middlesex,NW2 6UY,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,Under construction,https://www.cricklewoodlibrary.org.uk/,info@cricklewoodlibrary.org.uk
Brent,Ealing Road,"Coronet Parade, Ealing Road",Wembley,Middlesex,HA0 4BA,,Yes,LAL,,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-18:00,10:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
Brent,Harlesden,Craven Park Road,London,Middlesex,NW10 8SE,,Yes,LAL,,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-18:00,10:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
Brent,Kensal Rise,Bathurst Gardens,London,Middlesex,NW10 5JA,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.savekensalriselibrary.org/,kensalriselibraryusers@hotmail.co.uk
Brent,Kilburn,42 Salusbury Road,London,Middlesex,NW6 6NN,,Yes,LAL,,,10:00-20:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-18:00,10:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
Brent,Kingsbury,522 - 524 Kingsbury Road,London,Middlesex,NW9 9HE,,Yes,LAL,,,10:00-20:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-18:00,10:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
Brent,Neasden,277 Neasden Lane,London,Middlesex,NW10 1QJ,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Brent,Preston Community Library,Carlton Avenue East,Wembley,Middlesex,HA9 8PL,,No,ICL,,,13:00-19:00,00:00-00:00,15:00-19:00,00:00-00:00,13:00-19:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://brentlibraries.wordpress.com/,PrestonCommunityLibrary@gmail.com
Brent,Tokyngton,Monks Park,Wembley,Middlesex,HA9 6JE,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Brent,Town Hall,Brent Town Hall,Wembley,Middlesex,HA9 9HU,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Brent,Wembley,"Brent Civic Centre, Engineers Way",Wembley,Middlesex,HA9 0FJ,,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
Brent,Willesden Green,95 High Road,London,Middlesex,NW10 2SF,,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://brent.gov.uk/libraries,libraries@brent.gov.uk
