Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Caerdydd,Canton Library,Library Street,Canton,Cardiff,CF5 1QD,,Yes,LAL,1907,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Canton-Library.aspx,
Caerdydd,Cardiff Central Library,The Hayes,Cardiff,Cardiff,CF10 1FL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Central-Library.aspx,mailto:centrallibrary@cardiff.gov.uk
Caerdydd,Cathays Library,Fairoak Road,Cathays,Cardiff,CF24 4PW,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Cathays-Library.aspx,
Caerdydd,Ely & Caerau Hub,1 Cowbridge Road West,Cardiff,,CF5 5BQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,,
Caerdydd,Fairwater Library,Doyle Avenue,Fairwater,Cardiff,CF5 3HU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Fairwater-Library.aspx,
Caerdydd,Grangetown Library,Redlaver Street,Grangetown,Cardiff,CF11 7LY,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Grangetown-Library.aspx,
Caerdydd,Llandaff North Library,Gabalfa Avenue,Llandaff North,Cardiff,CF14 2HU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/llandaff-north-and-gabalfa-hub/Pages/default.aspx,
Caerdydd,Llanedeyrn Library,The Powerhouse Hub,Roundwood,Llanedeyrn,CF23 9PN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/Llanedeyrn-Hub/Pages/default.aspx,
Caerdydd,Llanishen Library,Llanishen Hub,11 Station Road,Cardiff,CF14 5LS,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/Llanishen-Hub/Pages/default.aspx,
Caerdydd,Llanrumney Library,Countisbury Avenue,Llanrumney,Cardiff,CF3 5NQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/llanrumney-hub/Pages/default.aspx,
Caerdydd,Penylan Library,Penylan Road,Penylan,Cardiff,CF23 5HW,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Penylan-Library.aspx,
Caerdydd,Radyr Library,Park Road,Radyr,Cardiff,CF15 8DF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Radyr-Library.aspx,
Caerdydd,Rhiwbina Library,Pen-y-Dre,Rhiwbina,Cardiff,CF14 6EH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Rhiwbina-Library.aspx,
Caerdydd,Rhydypennau Library,Llandennis Road,Rhydypennau,Cardiff,CF23 6EG,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Rhydypennau-Library.aspx,
Caerdydd,Rumney Library,Llanstephan Road,Rumney,Cardiff,CF3 3JA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/Rumney-Partnership-Hub/Pages/default.aspx,
Caerdydd,STAR Library,Muirton Road,Cardiff,,CF24 2SJ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Splott-Library.aspx,
Caerdydd,St Mellons Library,Crickhowell Road,St Mellons,Cardiff,CF3 0EF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/hubs-and-housing-offices/st-mellons-hub/Pages/default.aspx,
Caerdydd,Tongwynlais Library,Tanyard Day Centre,Tongwynlais,Cardiff,CF15 7NP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Tongwynlais-Library.aspx,
Caerdydd,Whitchurch Library,Park Road,Whitchurch,Cardiff,CF14 7XA,100101043739,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Find-a-library/Pages/Whitchurch-Library.aspx,
