Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Caerffili,Aberbargoed Library,Pant Street,Aberbargoed,Caerphilly,CF81 9BB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Aberbargoed-library,mailto:libabarg@caerphilly.gov.uk
Caerffili,Abercarn Library,1 Duffryn Court,Abercarn.,,NP11 5DT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Abercarn-library.aspx,mailto:libaberc@caerphilly.gov.uk
Caerffili,Abertridwr Library,Aberfawr Road,Abertridwr,Caerphilly,CF83 4EJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Abertridwr-library.aspx,mailto:libatrid@caerphilly.gov.uk
Caerffili,Bargoed Library,Hanbury Chapel,6a Hanbury Road,Bargoed. CF81 8QR,CF81 8QQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Bargoed-library.aspx,mailto:libraries@caerphilly.gov.uk
Caerffili,Bedwas Library,Newport Road,Bedwas,Caerphilly,CF83 8BJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Bedwas-library.aspx,mailto:libbedw@caerphilly.gov.uk
Caerffili,Blackwood Library,192 High Street,Blackwood,Caerphilly,NP12 1AJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Blackwood-library.aspx,mailto:libblack@caerphilly.gov.uk
Caerffili,Caerphilly Library,The Twyn,Caerphilly,,CF83 1JL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Caerphilly-library.aspx,mailto:libcaer@caerphilly.gov.uk
Caerffili,Deri Library,Bailey Street,Deri,Bargoed,CF81 9HT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Deri-library.aspx,mailto:libderi@caerphilly.gov.uk
Caerffili,Llanbradach Library,School Street,Llanbradach,Caerphilly,CF83 3LP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Llanbradach-library.aspx,mailto:Liblab2@caerphilly.gov.uk
Caerffili,Machen Library,Village Hall & Social Centre,Machen,Caerphilly,CF83 8ND,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.caerphilly.gov.uk/Services/Libraries/Library-locations-and-opening-times/Machen-library.aspx,mailto:libmach@caerphilly.gov.uk
