Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Carmarthenshire County Council,Ammanford Library,3 Wind Street,Ammanford,Carmarthenshire,SA18 3DN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/ammanford-library.aspx#.Wku34o_XLIU,
Carmarthenshire County Council,Bedol Library,Ysgol y Bedol,Folland Road,Garnant,SA18 2GB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/bedol-library/,
Carmarthenshire County Council,Brynaman Library,Community Centre,Cwmgarw Road,Brynaman,SA18 1BU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/brynaman-library/,
Carmarthenshire County Council,Burry Port Library,Brynmor House,Carway Street,Burry Port,SA16 0AE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/burry-port-library.aspx#.Wk5ZYY_XLIU,
Carmarthenshire County Council,Carmarthen Library,St Peters Street,Carmarthen,Carmarthenshire,SA31 1LN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/carmarthen-library/,
Carmarthenshire County Council,Cross Hands Library,Carmarthen Road,Cross Hands,,SA14 6SU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/cross-hands-library.aspx#.Wk5af4_XLIU,
Carmarthenshire County Council,Dafen Library,Parish Church Hall,Dafen,Llanelli,SA15 8LR,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Carmarthenshire County Council,Garnant Library,77 Cwmamman Road,Garnant,Ammanford,SA18 1ND,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Carmarthenshire County Council,Kidwelly Library,Princess Gwenllian Centre,Hillfield Villas,Kidwelly,SA17 4UL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/kidwelly-library.aspx#.Wk_xdUx2vIU,
Carmarthenshire County Council,Llandeilo Library,Crescent Road,Llandeilo,Carmarthenshire,SA19 6HN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandeilo-library.aspx#.Wk_0Dkx2vIU,
Carmarthenshire County Council,Llandovery Library,Town Hall,Market Square,Llandovery,SA20 0AA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandovery-library/,
Carmarthenshire County Council,Llanelli Library,Vaughan Street,Llanelli,Carmarthenshire,SA15 3AS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llanelli-library/,
Carmarthenshire County Council,Llangennech Library,Community Centre,Rear of Hendre Road,Nr. Old Bridge Inn,SA14 8TH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llangennech-library.aspx#.Wk_3KUx2vIU,
Carmarthenshire County Council,Llanybydder Library,Day Centre,Market Square,Llanybydder,SA40 9TY,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Carmarthenshire County Council,Llwynhendy Library,Heol Elfed,Llwynhendy,Llanelli,SA14 9HH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llwynhendy-library.aspx#.Wk_5EEx2vIU,
Carmarthenshire County Council,Newcastle Emlyn Library,Church Lane,Newcastle Emlyn,Carmarthenshire,SA38 9AB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/newcastle-emlyn-library.aspx#.Wk_6lEx2vIU,
Carmarthenshire County Council,Pembrey Library,The Old School,Ashburnham Road,Pembrey,SA16 0TP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pembrey-library.aspx#.Wk_7BUx2vIU,
Carmarthenshire County Council,Pontyates Library,Welfare Hall,Meinciau Road,Pontyates,SA15 5SC,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pontyates-library.aspx#.Wk_-2Ex2vIU,
Carmarthenshire County Council,Pontyberem Library,Memorial Hall,Coalbrook Road,Pontyberem,SA15 5HH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Carmarthenshire County Council,St. Clears Library,The Gate,Pentre Road,Carmarthen,SA33 4AA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/st-clears-library.aspx#.Wk_8cUx2vIU,
Carmarthenshire County Council,Whitland Library,Town Hall,King Edward Street,Carmarthen,SA34 0AG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/whitland-library.aspx,
