Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Central Bedfordshire,Ampthill Library,1 Dunstable Street,Ampthill,Bedfordshire,MK45 2NL,100081213546,Yes,LAL,,,00:00-00:00,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Arlesey Library Access Point,High Street,Arlesey,Bedfordshire,SG15 6SN,,No,CRL,,,00:00-00:00,13:00-17:30,09:00-13:00,13:00-17:30,09:00-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,enquiries@arleseyresourcecentre.org.uk
Central Bedfordshire,Barton Library,Bedford Road,Barton,Bedfordshire,MK45 4PP,,Yes,LAL,,,00:00-00:00,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Biggleswade Library,Chestnut Avenue,Biggleswade,Bedfordshire,SG18 0LL,,Yes,LAL,,,00:00-00:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Dunstable Library,"The Dunstable Centre, Court Drive",Dunstable,Bedfordshire,LU5 4JD,,Yes,LAL,,,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,07:00-21:00,07:00-21:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Flitwick Library,Coniston Road,Flitwick,Bedfordshire,MK45 1QJ,,Yes,LAL,,,00:00-00:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Houghton Regis Library,Bedford Square,Houghton Regis,Bedfordshire,LU5 5ES,,Yes,LAL,,,00:00-00:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Leighton Buzzard Library,Lake Street,Leighton Buzzard,Bedfordshire,LU7 1RX,,Yes,LAL,,,00:00-00:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Potton Library,Clock House,Potton,Bedfordshire,SG19 2NP,,Yes,LAL,,,00:00-00:00,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
Central Bedfordshire,Sandy Library,Market Square,Sandy,Bedfordshire,SG19 1EH,,Yes,LAL,,,00:00-00:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,
