Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Cheshire East,Alderley Edge Library,44a London Road,Alderley Edge,Cheshire,SK9 7GP,10008878321,Yes,LAL,,,00:00-00:00,09:30-13:30,09:30-13:30,14:30-19:00,13:00-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/alderley_edge_library.aspx,
Cheshire East,Alsager Library,Sandbach Road North,Alsager,Cheshire,ST7 2QH,100012791282,Yes,LAL,,,09:00-17:00,09:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/alsager_library/alsager_library.aspx,
Cheshire East,Bollington Library,Palmerston Street,Bollington,Cheshire,SK10 5JX,100012772070,Yes,LAL,,,00:00-00:00,09:30-19:00,09:30-17:00,09:00-17:00,09:00-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/bollington_library/bollington_library.aspx,
Cheshire East,Congleton Library,Market Square,Congleton,Cheshire,CW12 1ET,100012598482,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/congleton_library/congleton_library.aspx,
Cheshire East,Crewe Library,Crewe Lifestyle Centre,Crewe,Cheshire,CW1 2BB,10014462812,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/crewe_library.aspx,
Cheshire East,Disley Library,off Buxton Old Road,Stockport,Cheshire,SK12 2BB,100012775118,Yes,LAL,,,00:00-00:00,09:00-13:00,09:00-13:00,14:00-18:00,14:00-18:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/disley_library.aspx,
Cheshire East,Handforth Library,"The Green, Wilmslow Road",Handforth,Cheshire,SK9 3ES,100012831784,Yes,LAL,,,09:30-17:00,09:30-19:00,00:00-00:00,09:30-17:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/handforth_library.aspx,
Cheshire East,Holmes Chapel Library,London Road,Holmes Chapel,Cheshire,CW4 7AP,100012600988,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-13:00,09:30-19:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/holmes_chapel_library/holmes_chapel_library.aspx,
Cheshire East,Hurdsfield,Hurdsfield Green,Macclesfield,Cheshire,SK10 2RJ,,No,CRL,,,09:30-12:30,00:00-00:00,00:00-00:00,09:30-12:30,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Cheshire East,Knutsford Library,Toft Road,Knutsford,Cheshire,WA16 0PG,,Yes,LAL,,,09:00-17:00,09:00-19:00,09:00-13:00,09:00-19:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/knutsford_library.aspx,
Cheshire East,Macclesfield Library,Jordangate,Macclesfield,Cheshire,SK10 1EE,100012770673,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/macclesfield_library/macclesfield_library.aspx,
Cheshire East,Middlewich Library,Lewin Street,Middlewich,Cheshire,CW10 9AS,100012596961,Yes,LAL,,,09:30-17:00,09:30-17:00,00:00-00:00,09:30-19:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.cheshireeast.gov.uk/libraries/nearest_library/middlewich_library.aspx,
