Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
City of Edinburgh,Balerno Library,1 Main Street,,Balerno,EH14 7EQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5054/balerno_library,
City of Edinburgh,Balgreen Library,173 Balgreen Road,,Edinburgh,EH11 3AT,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5055/balgreen_library,
City of Edinburgh,Blackhall Library,56 Hillhouse Road ,,EH4 5EG,EH4 5EG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5056/blackhall_library,
City of Edinburgh,Colinton Library,14 Thorburn Road ,,Edinburgh,EH13 0BQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5057/colinton_library,
City of Edinburgh,Corstorphine Library,12 Kirk Loan ,,Edinburgh,EH12 7HD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5058/corstorphine_library,
City of Edinburgh,Craigmillar Library,101 Niddrie Mains Road,,Edinburgh,EH16 4DS,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5059/craigmillar_library,
City of Edinburgh,Currie Library,210 Lanark Road West,,Edinburgh,EH14 5NX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5060/currie_library,
City of Edinburgh,Drumbrae Library Hub,81 Drum Brae Drive ,,Edinburgh,EH4 7FE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5758/drumbrae_library_hub,
City of Edinburgh,Edinburgh Central Library,George IV Bridge ,,Edinburgh,EH1 1EG,906268310,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5079/central_library,
City of Edinburgh,Fountainbridge Library,137 Dundee Street,,Edinburgh,EH11 1BG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5061/fountainbridge_library,
City of Edinburgh,Gilmerton Library,13 Newtoft Street ,,Edinburgh,EH17 8RG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5062/gilmerton_library,
City of Edinburgh,Granton Library,29 Wardieburn Terrace ,,Edinburgh,EH5 1DD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5063/granton_library,
City of Edinburgh,Kirkliston Library,16 Station Road,,Kirkliston,EH29 9BE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5064/kirkliston,
City of Edinburgh,Leith Library,28-30 Ferry Road,,Leith,EH6 4AE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5065/leith_library,
City of Edinburgh,McDonald Road Library,2 McDonald Road,,Edinburgh,EH7 4LU,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5066/mcdonald_road_library,
City of Edinburgh,Moredun Library,Moredun Park Road,,Edinburgh,EH17 7HL,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5067/moredun_library,
City of Edinburgh,Morningside Library,184 Morningside Road,,Edinburgh,EH10 4PU,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5068/morningside_library,
City of Edinburgh,Muirhouse Library,15 Pennywell Court,,Edinburgh,EH4 4TZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5069/muirhouse_library,
City of Edinburgh,Newington Library,17-21 Fountainhall Road ,,Edinburgh,EH9 2LN,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5070/newington_library,
City of Edinburgh,Oxgangs Library,343 Oxgangs Road North ,,Edinburgh,EH13 9LY,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5071/oxgangs_library,
City of Edinburgh,Piershill Library,30 Piersfield Terrace ,,Edinburgh,EH8 7BQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5072/piershill_library,
City of Edinburgh,Portobello Library,14 Rosefield Avenue ,,Edinburgh,EH15 1AU,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5073/portobello_library,
City of Edinburgh,Ratho Library,6 School Wynd,,Ratho ,EH28 8TT,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5074/ratho_library,
City of Edinburgh,Sighthill Library,Gate 55, 55 Sighthill Road ,,EH11 4PB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5075/sighthill_library,
City of Edinburgh,South Neighbourhood Office & Library,40 Captain's Road,,Edinburgh,EH17 8QF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/13909/south_neighbourhood_office_and_library,
City of Edinburgh,South Queensferry Library,9 Shore Road, South ,,EH30 9RD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5076/south_queensferry_library,
City of Edinburgh,Stockbridge Library,11 Hamilton Place ,,Edinburgh ,EH3 5BA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5077/stockbridge_library,
City of Edinburgh,Wester Hailes Library,1 West Side Plaza,,Edinburgh,EH14 2ST,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.edinburgh.gov.uk/directory_record/5078/wester_hailes_library,
