Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Conwy,Abergele Library,Market Street,Abergele,Conwy,LL22 7BP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Abergele-Library.aspx,mailto:abergele.library@conwy.gov.uk
Conwy,Cerrigydrudion Library,King Street,Cerrigydrudion,Corwen,LL21 9TF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Cerrigydrudion-Library.aspx,mailto:cerrig.library@conwy.gov.uk
Conwy,Colwyn Bay Library,Woodland Road West,Colwyn Bay,Conwy,LL29 7DH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Colwyn-Bay-Library.aspx,mailto:colwynbay.library@conwy.gov.uk
Conwy,Conwy Library,Civic Hall,Castle Street,Conwy,LL32 8AY,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Conwy-Library.aspx,mailto:conwy.library@conwy.gov.uk
Conwy,Deganwy Library,219 Station Road,Deganwy,Conwy,LL31 9EX,,Yes,LAL,,2014,,,,,,,,,,,,,,,,No,,,,
Conwy,Kinmel Bay Library,Community Centre,Kendal Road,Kinmel Bay,LL18 5BT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Kinmel-Bay-Library.aspx,mailto:kinmelbay.library@conwy.gov.uk
Conwy,Llandudno Junction Library,Llandudno Junction,,,LL31 9HA,,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Conwy,Llandudno Library,Mostyn Street,Llandudno,Conwy,LL30 2RP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llandudno-Library.aspx,mailto:llandudno.library@conwy.gov.uk
Conwy,Llanfairfechan Library,Village Road,Llanfairfechan,Conwy,LL33 0AA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanfairfechan-Library.aspx,mailto:llanfairfechan.library@conwy.gov.uk
Conwy,Llanrwst Library,Plas yn Dre,Station Road,Llanrwst,LL26 0DF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanrwst-Library.aspx,mailto:Llanrwst.library@conwy.gov.uk
Conwy,Penmaenmawr Library,Bangor Road,Penmaenmawr,Conwy,LL34 6DA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penmaenmawr-Library.aspx,mailto:penmaenmawr.library@conwy.gov.uk
Conwy,Penrhyn Bay Library,Llandudno Road,Penrhyn Bay,Nr Llandudno,LL30 3HN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penrhyn-Bay-Library.aspx,mailto:penrhynbay.library@conwy.gov.uk
