Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Cornwall,Bodmin Library & Information Service,Chy Trevail,Bodmin,Cornwall,PL31 2FR,10090884069,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Relocated to new building 2017,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/bodmin-library-and-information-service/,Bodmin Library <bodmin.library@cornwall.gov.uk>
Cornwall,Bude Library & Information Service,The Wharf,Bude,Cornwall,EX23 9LG,10003308395,No,CL,,,09:30-17:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/bude-library-and-information-service/,Bude Library <bude.library@liscornwall.org.uk>
Cornwall,Callington Library & Information Service,Coronation Road,Callington,Cornwall,PL17 7BX,100041154596,Yes,LAL,,,00:00-00:00,13:00-17:00,00:00-00:00,13:00-17:00,09:00-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/callington-library-and-information-service/,Callington Library <callington.library@cornwall.gov.uk>
Cornwall,Camborne Library,The Cross,Camborne,Cornwall,TR14 8HA,100041208198,No,CL,,,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/camborne-library/,Camborne Library <camborne.library@LISCornwall.org.uk>
Cornwall,Camelford Library & Information Service,"Town Hall, Market Place",Camelford,Cornwall,PL32 9PD,100041026852,Yes,CL,,,10:00-16:30,10:00-16:30,10:00-13:00,10:00-13:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/camelford-library-and-information-service/,Camelford Library <camelford.library@liscornwall.org.uk>
Cornwall,Devoran Micro,"The Market Hall, Market Street",Devoran,Cornwall,TR3 6QA,10091539708,Yes,LAL-,,,09:00-17:30,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/micro-libraries/devoran-micro-library/,Mobile and Micro Library <mobile@cornwall.gov.uk>
Cornwall,Falmouth Library,Municipal Offices,Falmouth,Cornwall,TR11 3QA,10001215712,Yes,CL,,,09:30-17:00,09:30-17:00,09:30-13:00,09:30-17:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/falmouth-library/,Falmouth Library TC (falmouth.library@liscornwall.org.uk)
Cornwall,Fowey Library & Information Service,"Caffa Mill House, 2 Passage Lane",Fowey,Cornwall,PL23 1JS,100041158316,No,LAL,,2019,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,"Closed, working with community to place micro library, currently served by mobile library",https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/fowey-library/,Mobile and Micro Library <mobile@cornwall.gov.uk>
Cornwall,Goldsithney Micro,"The Crown, Fore Street",Penzance,Cornwall,TR20 9LG,,No,LAL,,2019,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed micro in pub,,
Cornwall,Hayle Library& Information Service,Commercial Road,Hayle,Cornwall,TR27 4DE,100041027886,Yes,CL,,,09:30-17:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/hayle-library-and-information-service/,Hayle Library <hayle.library@liscornwall.org.uk>
Cornwall,Helston Library & Information Service,Trengrouse Way,Helston,Cornwall,TR13 8AG,100041207186,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,DWP,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/helston-library-and-information-service/,Helston Library <helston.library@cornwall.gov.uk>
Cornwall,Ladock Micro,The Falmouth Arms,Truro,Cornwall,TR2 4PG,,No,LAL-,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Micro library in pub closed,,
Cornwall,Launceston Library & Information Service,Bounsalls Lane,Launceston,Cornwall,PL15 9AB,100041154524,Yes,CL,,,00:00-00:00,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/launceston-library-and-information-service/,Launceston Library <Launceston.Library@liscornwall.org.uk>
