Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
County Durham,Annfield Plain Library,North Road,Stanley,County Durham,DH9 8EZ,,Yes,LAL,,,10:00-19:00,09:00-13:00,00:00-00:00,13:00-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Barnard Castle Library,2 Hall Street,Barnard Castle,County Durham,DL12 8JB,,Yes,LAL,,,10:00-19:00,10:00-19:00,10:00-18:00,00:00-00:00,10:00-17:00,09:03-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Belmont Library,Cheveley Park Shopping Centre,Belmont,County Durham,DH1 2AA,,Yes,LAL,,,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Bishop Auckland Library,"Bishop Auckland Town Hall, Market Place",Bishop Auckland,County Durham,DL14 7NP,,Yes,LAL,,,10:00-18:00,10:00-17:00,10:00-13:00,10:00-18:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Blackhall Library,Back Middle Street,Blackhall,County Durham,TS27 4HD,,Yes,LAL,,,00:00-00:00,00:00-00:00,00:00-00:00,09:30-19:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Bowburn Library,Durham Road,Bowburn,County Durham,DH6 5AT,,Yes,LAL,,,14:00-17:30,14:00-17:30,00:00-00:00,09:00-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Brandon Library,Lowland Road,Brandon,County Durham,DH7 8NN,,Yes,LAL,,,09:30-17:00,00:00-00:00,00:00-00:00,09:30-19:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Chester-le-Street Library,Station Road,Chester-le-Street,County Durham,DH3 3BP,,Yes,LAL,,,10:00-19:00,10:00-18:00,00:00-00:00,10:00-19:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Chilton Library,Durham Road,Ferryhill,County Durham,DL17 0EX,,Yes,LAL,,,09:30-19:00,00:00-00:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Consett Library,Victoria Road,Consett,County Durham,DH8 5AT,,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-12:30,09:30-19:00,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Cornforth Library,High Street,Ferryhill,County Durham,DL17 9HP,,Yes,LAL,,,00:00-00:00,09:30-19:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Coundon Library,"The Eden Centre, Victoria Lane",Bishop Auckland,County Durham,DL14 8NL,,Yes,LAL,,,09:30-18:00,00:00-00:00,09:30-12:30,09:30-15:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
County Durham,Crook Library & Customer Access Point (CAP),"Civic Centre, North Terrace",Crook,County Durham,DL15 9ES,100110748685,Yes,LAL,,,13:30-17:00,09:30-19:00,09:30-12:30,09:30-19:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.durham.gov.uk/libraries,
