Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Croydon,Ashburton,Shirley Road,Croydon,Surrey,CR9 7AL,10000104467,No,LAL,,,09:00-19:00,09:00-18:00,00:00-00:00,09:00-18:00,09:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Secondary School,,https://www.croydon.gov.uk/,ashburtonlibrary@croydon.gov.uk
Croydon,Bradmore Green,Bradmore Way,Coulsdon,Surrey,CR5 1PE,200001206439,No,LAL,,,09:30-18:00,09:00-18:00,09:00-18:00,00:00-00:00,09:00-19:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,bradmoregreenlibrary@croydon.gov.uk
Croydon,Broad Green,89 Canterbury Road,Croydon,Surrey,CR0 3HH,10000104509,No,LAL,,,09:30-18:00,09:00-18:00,00:00-00:00,09:00-19:00,09:00-19:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,broadgreenlibrary@croydon.gov.uk
Croydon,Coulsdon,Brighton Road,Coulsdon,Surrey,CR5 2NH,100023534265,No,LAL,,,09:00-18:00,09:00-18:00,00:00-00:00,09:30-18:00,09:00-19:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,coulsdonlibrary@croydon.gov.uk
Croydon,Croydon Central Library,Katharine Street,Croydon,Surrey,CR9 1ET,100022917682,No,LAL,,,09:00-19:00,09:00-18:00,09:00-18:00,09:30-18:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Museum; Galleries; Adult Education Hub,,https://www.croydon.gov.uk/,croydoncentrallibrary@croydon.gov.uk
Croydon,New Addington,"New Addington Centre, 61 Central Parade",New Addington,Surrey,CR0 0JD,10014051914,No,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:30-18:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Adult Education Hub,,https://www.croydon.gov.uk/,newaddingtonlibrary@croydon.gov.uk
Croydon,Norbury,Beatrice Avenue,Norbury,Surrey,SW16 4UW,100023319420,No,LAL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Norbury Library is closed for refurbishment until Summer 2020,https://www.croydon.gov.uk/,
Croydon,Purley,Banstead Road,Purley,Surrey,CR8 3YH,200001215992,No,LAL,,,09:00-19:00,09:00-18:00,00:00-00:00,09:30-18:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,purleylibrary@croydon.gov.uk
Croydon,Sanderstead,Farm Fields,Croydon,Surrey,CR2 0HL,200001205396,No,LAL,,,00:00-00:00,09:00-18:00,09:30-18:00,00:00-00:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,sandersteadlibrary@croydon.gov.uk
Croydon,Selsdon,Addington Road,Selsdon,Surrey,CR2 8LA,10014054952,No,LAL,,,09:00-18:00,09:00-18:00,00:00-00:00,09:30-18:00,09:00-19:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,selsdonlibrary@croydon.gov.uk
Croydon,Shirley,Wickham Road / Hartland Way,Croydon,Surrey,CR0 8BH,200001214848,No,LAL,,,09:00-18:00,09:00-18:00,00:00-00:00,09:30-19:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,shirleylibrary@croydon.gov.uk
Croydon,South Norwood,Lawrence Road,South Norwood,Surrey,SE25 5AA,200001210571,No,LAL,,,09:00-18:00,00:00-00:00,09:30-18:00,00:00-00:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,New library building under construction; due to open Summer 2020,https://www.croydon.gov.uk/,southnorwoodlibrary@croydon.gov.uk
Croydon,Thornton Heath,190 Brigstock Road,Thornton Heath,Surrey,CR7 7JB,200001206453,No,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,00:00-00:00,09:30-19:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.croydon.gov.uk/,thorntonheathlibrary@croydon.gov.uk
Croydon,Upper Norwood,39-41 Westow Hill,London,Surrey,SE19 1TJ,100023246690,No,CRL,,,00:00-00:00,10:00-18:00,10:00-18:00,10:00-20:00,10:00-18:00,10:00-18:00,11:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Joint funded with Lambeth Council; managed by Lambeth Council; run by Upper Norwood Library Trust,https://www.uppernorwoodlibraryhub.org/,info@unlt.org
