Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Derby,Allenton,Poole Street,Derby,Derbyshire,DE24 9DA,,No,CRL,,,10:00-16:30,00:00-00:00,10:00-17:00,00:00-00:00,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby,Allestree,"Park Farm Centre, Birchover Way",Allestree,Derbyshire,DE22 2QN,,No,CRL,,,00:00-00:00,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby,Alvaston,1252-1254 London Road,Derby,Derbyshire,DE24 8QP,,No,LAL,,,13:00-17:00,09:30-17:00,00:00-00:00,09:30-19:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.derby.gov.uk/libraries,alvaston.library@derby.gov.uk
Derby,Blagreaves,Blagreaves Lane,Derby,Derbyshire,DE23 1PT,,No,CRL,,,10:00-17:00,10:00-17:00,10:00-15:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby,Chaddesden,Chaddesden Lane,Derby,Derbyshire,DE21 6LN,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Derby,Chellaston,Barley Croft,Derby,Derbyshire,DE73 6TU,,No,CRL,,,10:00-16:30,10:00-16:30,00:00-00:00,10:00-16:30,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby,Derby Central,The Wardwick,Derby,Derbyshire,DE1 1HS,,No,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.derby.gov.uk/libraries,
Derby,Derwent Community Library (Located in the Revive Healthy Living Centre),"Revive Healthy Living Centre, Roe Farm Lane",Chaddesden,Derbyshire,DE21 6ET,,No,LAL,,,13:00-17:30,13:00-17:30,00:00-00:00,10:00-17:30,10:00-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Community / Health Centre,Due to be Run by Direct Help and Advice (DHA),http://www.derby.gov.uk/libraries,
Derby,Local Studies,25b Irongate,Derby,Derbyshire,DE1 3GL,,No,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Derby,Local Studies & Family History Library,"Riverside Chambers, Full Street",Derby,Derbyshire,DE1 3AF,,No,LAL,2014,,09:30-13:00,09:30-13:00,00:00-00:00,09:30-19:00,09:30-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.derby.gov.uk/libraries,localstudies.librar@derby.gov.uk
Derby,Mackworth,Prince Charles Avenue,Derby,Derbyshire,DE22 4BG,,No,CRL,,,10:00-17:00,10:00-16:30,00:00-00:00,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
Derby,Mickleover,Holly End Road,Derby,Derbyshire,DE3 0GA,,No,LAL,,,13:00-17:00,10:00-17:00,00:00-00:00,10:00-19:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.derby.gov.uk/libraries,mickleover.library@derby.gov.uk
Derby,Normanton,"St. Augustine's Community Centre, Almond Street",Derby,Derbyshire,DE23 6LX,,No,LAL,2019,,09:30-17:00,00:00-00:00,09:30-19:00,13:00-17:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Community Centre,,,normanton.library@derby.gov.uk
Derby,Pear Tree,Pear Tree Road,Derby,Derbyshire,DE23 8NQ,,No,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.derby.gov.uk/libraries,
Derby,Phillip Whitehead Memorial Library,Chaddesden Lane,Derby,Derbyshire,DE21 6LN,,No,CRL,,,00:00-00:00,10:00-17:00,10:00-16:30,00:00-00:00,10:00-16:30,00:00-00:00,00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Run by Direct Help and Advice (DHA):,http://www.derby.gov.uk/libraries,
