Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Dudley Metropolitan Borough Council,Brierley Hill,High Street,Brierley Hill,West Midlands,DY5 3ET,90145853,Yes,CL,,,09:30-18:00,09:00-18:00,09:00-17:00,09:00-18:00,09:00-18:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Council Department,,https://www.better.org.uk/library/dudley/brierley-hill,brierleyhill.library@gll.org
Dudley Metropolitan Borough Council,Coseley,Castle Street,Bilston,West Midlands,WV14 9DW,90156907,No,CL,,,10:00-18:00,10:00-16:00,10:00-16:00,09:00-17:00,09:00-16:30,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/coseley-library,coseley.library@gll.org
Dudley Metropolitan Borough Council,Cradley,Colley Lane,Halesowen,West Midlands,B63 2TL,90144785,Yes,CL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:00-17:00,09:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/cradley-library,cradley.library@gll.org
Dudley Metropolitan Borough Council,Dudley,St. James' Road,Dudley,West Midlands,DY1 1HR,90142880,Yes,CL,,,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,09:30-17:00,10:00-16:00,10:00-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/dudley,dudley.library@gll.org
Dudley Metropolitan Borough Council,Dudley Wood Library Link,"Dudley Wood Neighbourhood Learning Centre, Pavilion Gardens",Dudley,West Midlands,DY2 0DB,90204249,Yes,CL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Neighbourhood Learning Centre,,https://www.better.org.uk/library/dudley/dudley-wood-library-link,Dudley.Libraries@GLL.ORG
Dudley Metropolitan Borough Council,Gornal,Abbey Road,Dudley,West Midlands,DY3 2PG,90143588,Yes,CL,,,09:30-17:00,09:30-18:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/gornal-library,gornal.library@gll.org
Dudley Metropolitan Borough Council,Halesowen,Queensway Mall,Halesowen,West Midlands,B63 4AZ,90160479,Yes,CL,,,09:00-17:00,09:00-18:00,09:30-18:00,09:00-18:00,09:00-17:30,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/halesowen-library,halesowen.library@gll.org
Dudley Metropolitan Borough Council,Kingswinford,Market Street,Kingswinford,West Midlands,DY6 9LG,90125445,Yes,CL,,,09:30-18:00,09:30-16:00,09:30-14:00,09:30-16:30,09:30-18:00,09:30-14:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/kingswinford-library,kingswinford.library@gll.org
Dudley Metropolitan Borough Council,Long Lane,Long Lane,Halesowen,West Midlands,B62 9JY,90146359,Yes,CL,,,09:30-17:00,09:30-17:00,09:30-18:00,09:30-17:00,09:30-16:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/long-lane-library,longlanelibrary@gll.org
Dudley Metropolitan Borough Council,Lye,Chapel Street,Stourbridge,West Midlands,DY9 8BT,90144636,Yes,CL,,,10:00-16:00,10:00-16:00,10:00-16:30,10:00-16:00,10:00-17:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.better.org.uk/library/dudley/lye-library,lye.library@gll.org
