Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Dumfries and Galloway,Annan Library,Charles Street ,,Annan,DG12 5AG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15393/DG-Customer-Services---Annan-Library,
Dumfries and Galloway,Castle Douglas Library & Customer Service Centre,Market Hill ,,King Street ,DG7 1AE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15395/DG-Customer-Services---Castle-Douglas,
Dumfries and Galloway,Dalbeattie Library & Customer Service Centre,High Street,,Dalbeattie,DG5 4AD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15396/DG-Customer-Services---Dalbeattie,
Dumfries and Galloway,Dalry Library,Main Street,,St John's Town of Dalry,DG7 3UP,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15397/DG-Customer-Services---Dalry-Library,
Dumfries and Galloway,Eastriggs Library,Eastriggs Community School ,,Eastriggs,DG12 6PZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15399/DG-Customer-Services---Eastriggs,
Dumfries and Galloway,Ewart Library & Customer Service Centre,Catherine Street,,Dumfries,DG1 1JB,137025391,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15398/DG-Customer-Services---Ewart-Library-Dumfries,
Dumfries and Galloway,Gatehouse Library,63 High Street,,Gatehouse of Fleet,DG7 2HS,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15400/DG-Customer-Services---Gatehouse-Library,
Dumfries and Galloway,Georgetown Library,Gillbrae Road ,,Dumfries,DG1 4EJ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15401/DG-Customer-Services---Georgetown-Dumfries,
Dumfries and Galloway,Gretna Library & Customer Service Centre,Central Avenue ,,Gretna ,DG16 5AQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15402/DG-Customer-Services---Gretna,
Dumfries and Galloway,Kirkconnel Library,Greystone Avenue,,Kelloholm,DG4 6RA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15579/DG-Customer-Services---Kirkconnel,
Dumfries and Galloway,Kirkcudbright Library,Sheriff Court House,,Kirkcudbright,DG6 4JW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15391/DG-Customer-Services---Kirkcudbright,
Dumfries and Galloway,Langholm Library & Customer Service Centre,Market Place,,Langholm,DG13 0JQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15404/DG-Customer-Services---Langholm,
Dumfries and Galloway,Lochmaben Library & Customer Service Centre,Town Hall,,High Street ,DG11 1NQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15405/DG-Customer-Services---Lochmaben,
Dumfries and Galloway,Lochside Library,Lochside Road ,,Dumfries ,DG2 0LW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15580/DG-Customer-Services---Lochside-Dumfries,
Dumfries and Galloway,Lochthorn Library,Lochthorn ,,Dumfries,DG1 1UF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15581/DG-Customer-Services---Lochthorn-Dumfries,
Dumfries and Galloway,Lockerbie Library & Customer Service Centre,31-33 High Street,,Lockerbie,DG11 2JL,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15577/DG-Customer-Services---Lockerbie,
Dumfries and Galloway,Moffat Library,High Street,,Moffat,DG10 9HF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15578/DG-Customer-Services---Moffat,
Dumfries and Galloway,Newton Stewart Library & Customer Service Centre,Church Street ,,Newton Stewart,DG8 6ER,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15584/DG-Customer-Services---Newton-Stewart,
Dumfries and Galloway,Port William Library,Maxwell Hall,,Main Street,DG8 9SD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15585/DG-Customer-Services---Port-William,
Dumfries and Galloway,Sanquhar Library,106 High Street,,Sanquhar,DG4 6DZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15392/DG-Customer-Services---Sanquhar,
Dumfries and Galloway,Stranraer Library & Customer Service Centre,North Strand Street,,Stranraer,DG9 7LD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15586/DG-Customer-Services---Stranraer,
Dumfries and Galloway,Thornhill LIbrary,Townhead Street,,Thornhill,DG3 5NW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.dumgal.gov.uk/article/15583/DG-Customer-Services-Thornhill,
Dumfries and Galloway,Whithorn Library,St John's Street,,Whithorn,DG8 8PF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15587/DG-Customer-Services---Whithorn,
Dumfries and Galloway,"Wigtown, John McNellie Library",Wigtown County Buildings,,Wigtown,DG8 9JH,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.dumgal.gov.uk/article/15588/DG-Customer-Services---John-McNellie-Library-Wigtown,
