Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
East Lothian,Dunbar Library,Bleachingfield Centre,,Dunbar,EH42 1DX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/4,
East Lothian,East Linton Library,60A High Street,,East Linton,EH40 3BX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/5,
East Lothian,Gullane Library,East Links Road,,Gullane,EH31 2AF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/6,
East Lothian,Haddington Library,The John Gray Centre,,Lodge Street ,EH41 3DX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/7,
East Lothian,Longniddry Library,Church Way,,Longniddry,EH32 0LW,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/8,
East Lothian,Musselburgh Library,10 Bridge Street,,Musselburgh ,EH21 6AG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/9,
East Lothian,North Berwick Library,The Old School,,School Road ,EH39 4JU,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/10,
East Lothian,Ormiston Library,5A Meadowbank,,Ormiston,EH35 5LQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/11,
East Lothian,Port Seton Library,Community Centre,,South Seton Park,EH32 0BG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/12,
East Lothian,Prestonpans Library,West Loan,,Prestonpans,EH32 9NX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/13,
East Lothian,Tranent Library,Tranent Library and Local Office The George Johnstone Centre ,,35 Winton Place,EH33 1AE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/14,
East Lothian,Wallyford Library,Future's Way ,,Wallyford,EH21 8FF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/15,
