Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
East Riding of Yorkshire,Anlaby,North Street,Anlaby,East Riding of Yorkshire,HU10 7DE,,Yes,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,Library moved into an extension within the local Leisure Cente,,
East Riding of Yorkshire,Beverley Library,Champney Road,Beverley,East Riding of Yorkshire,HU17 8HE,,Yes,LAL,,,09:30-17:00,09:30-20:00,09:30-17:00,09:30-20:00,09:30-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=beverley_library,beverley.library@eastriding.gov.uk
East Riding of Yorkshire,Bridlington Central Library,14 King Street,Bridlington,East Riding of Yorkshire,YO15 2DF,,No,LAL,,,09:00-17:00,00:00-00:00,09:30-18:00,09:30-15:00,00:00-00:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=bridlington_library,bridlington.library@eastriding.gov.uk
East Riding of Yorkshire,Brough Library & Customer Service Centre,"East Riding Petuaria Centre, Centurion Way",Brough,East Riding of Yorkshire,HU15 1DF,,No,LAL,,,09:30-16:30,00:00-00:00,09:30-16:30,09:30-18:30,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Customer Service Centre,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=brough_library,CSCBrough@eastriding.gov.uk
East Riding of Yorkshire,Cottingham Library & Customer Service Centre,Market Green,Cottingham,East Riding of Yorkshire,HU16 5QG,,Yes,LAL,,,09:30-16:30,09:30-16:30,00:00-00:00,09:30-18:30,09:30-13:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Customer Service Centre & Registrars,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=cottingham_library,CSCCott@eastriding.gov.uk
East Riding of Yorkshire,Driffield Library & Customer Service Centre,Cross Hill,Driffield,East Riding of Yorkshire,YO25 6RQ,,Yes,LAL,,,09:30-18:30,09:30-16:30,09:30-16:30,09:30-16:30,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Customer Service Centre & Registrars,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=driffield_library,CSCDriff@eastriding.gov.uk
East Riding of Yorkshire,Flamborough Library,South Sea Road,Flamborough,East Riding of Yorkshire,YO15 1NG,,Yes,LAL,,,00:00-00:00,14:00-18:30,00:00-00:00,00:00-00:00,14:00-17:00,09:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=flamborough_library,famborough.library@eastriding.gov.uk
East Riding of Yorkshire,Goole Library,Carlisle Street,Goole,East Riding of Yorkshire,DN14 5DS,,Yes,LAL,,,09:30-19:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=goole_library,goole.library@eastriding.gov.uk
East Riding of Yorkshire,Haltemprice Library & Customer Service Centre,120 Springfield Way,Anlaby,East Riding of Yorkshire,HU10 6QJ,,Yes,LAL,2014,,09:30-18:30,09:30-17:30,09:30-17:30,09:30-17:30,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,"Customer Service Centre, Leisure Centre & GP surgery",,https://www.eastridinglibraries.co.uk/find-a-library/?entry=haltemprice_library,CSCAnlaby@eastriding.gov.uk
East Riding of Yorkshire,Hedon Library & Customer Service Centre,31 St. Augustines Gate,Hedon,East Riding of Yorkshire,HU12 8EX,,Yes,LAL,,,09:30-13:30,09:30-18:30,09:30-13:30,09:30-16:30,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Customer Service Centre,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=hedon_library,CSCHedon@eastriding.gov.uk
East Riding of Yorkshire,Hessle Library & Customer Service Centre,Southgate,Hessle,East Riding of Yorkshire,HU13 0RB,,Yes,LAL,,,09:30-16:30,09:30-18:30,00:00-00:00,09:30-16:30,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Childrens Centre,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=hessle_library,CSCHessle@eastriding.gov.uk
East Riding of Yorkshire,Hornsea Library,77 Newbegin,Hornsea,East Riding of Yorkshire,HU18 1PA,,Yes,LAL,,,00:00-00:00,09:30-19:00,09:30-17:00,09:30-17:00,09:30-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.eastridinglibraries.co.uk/find-a-library/?entry=hornsea_library,hornsea.library@eastriding.gov.uk
