Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Essex County Council,Basildon Library,"The Basildon Centre, St. Martin's Square",Basildon,Essex,SS14 1EE,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,DWP/CAB,Peppercorn rent,https://libraries.essex.gov.uk/library-locations-and-opening-times/basildon-library/,basildon.library@essex.gov.uk
Essex County Council,Billericay Library,143 High Street,Billericay,Essex,CM12 9AB,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/billericay-library/,billericay.library@essex.gov.uk
Essex County Council,Braintree Library,Fairfield Road,Braintree,Essex,CM7 3YL,100091450223,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/braintree-library/,braintree.library@essex.gov.uk
Essex County Council,Brentwood Library,New Road,Brentwood,Essex,CM14 4BP,,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/brentwood-library/,brentwood.library@essex.gov.uk
Essex County Council,Brightlingsea Library,New Street,Colchester,Essex,CO7 0BZ,,Yes,LAL,,,00:00-00:00,14:00-18:30,10:00-17:00,10:00-13:00,14:00-18:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/brightlingsea-library/,brightlingsea.library@essex.gov.uk
Essex County Council,Broomfield Library,180 Main Road,Chelmsford,Essex,CM1 7AH,,Yes,LAL,,,13:00-17:00,00:00-00:00,09:00-13:00,13:00-17:00,00:00-00:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/broomfield-library/,broomfield.library@essex.gov.uk
Essex County Council,Buckhurst Hill Library,165 Queens Road,Buckhurst Hill,Essex,IG9 5AZ,,Yes,LAL,,,09:30-17:00,09:00-17:00,09:30-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/buckhurst-hill-library/,buckhurst.library@essex.gov.uk
Essex County Council,Burnham-on-Crouch Library,103 Station Road,Burnham-on-Crouch,Essex,CM0 8HQ,,Yes,LAL,,,00:00-00:00,10:00-16:00,00:00-00:00,10:00-16:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/burnham-on-crouch-library/,burnham.library@essex.gov.uk
Essex County Council,Canvey Island Library,3 High Street,Canvey Island,Essex,SS8 7RB,,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/canvey-island-library/,canvey.library@essex.gov.uk
Essex County Council,Chelmsford Library,"PO Box 882, Market Road",Chelmsford,Essex,CM1 1LH,10015241992,Yes,LAL,,,09:00-18:00,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-17:30,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://libraries.essex.gov.uk/library-locations-and-opening-times/chelmsford-library/,chelmsford.library@essex.gov.uk
