Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Glasgow City,Anniesland Library,833 Crow Road,,Glasgow ,G13 1LE,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/anniesland-library/Pages/home.aspx,
Glasgow City,Ballieston Library,141 Main Street,,Glasgow,G69 6AA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/baillieston-library/Pages/home.aspx,
Glasgow City,Barmulloch Library,46 Wallacewell Quadrant,,Glasgow ,G21 3PX,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/barmulloch-library/Pages/home.aspx,
Glasgow City,Bridgeton Library,The Olympia Building,,2-16 Orr St,G40 2QH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/bridgeton-library/Pages/home.aspx,
Glasgow City,Cardonald Library,1113 Mosspark Drive,,Glasgow ,G52 3BU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/cardonald-library/Pages/home.aspx,
Glasgow City,Castlemilk Library,100 Castlemilk Drive,,Glasgow ,G45 9TN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/castlemilk-library/Pages/home.aspx,
Glasgow City,Couper Institute Library,84 Clarkston Road,,Glasgow ,G44 3DA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/couper-institute/Pages/default.aspx,
Glasgow City,Dennistoun Library,2a Craigpark,,Glasgow,G31 2NA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/dennistoun-library/Pages/home.aspx,
Glasgow City,Drumchapel Library,65 Hecla Avenue,,Glasgow ,G15 8LX,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/drumchapel-library/Pages/home.aspx,
Glasgow City,Elder Park Library,228a Langlands Road,,Glasgow ,G51 3TZ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/elder-park-library/Pages/home.aspx,
Glasgow City,Gorbals Library,180 Crown Street,,Glasgow ,G5 9XD,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/gorbals-library/Pages/home.aspx,
Glasgow City,Govanhill library,170 Langside Road,,Glasgow,G42 7JU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/govanhill-library/Pages/home.aspx,
Glasgow City,Hillhead Library,348 Byres Road,,Glasgow ,G12 8AP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/hillhead-library/Pages/home.aspx,
Glasgow City,Ibrox Library,1 Midlock Street,,Glasgow ,G51 1SL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/ibrox-library/Pages/home.aspx,
Glasgow City,Knightswood Library,27 Dunterlie Avenue,,Glasgow ,G13 3BB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/knightswood-library/Pages/home.aspx,
Glasgow City,Langside Library,2 Sinclair Drive,,Glasgow ,G42 9QE,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/langside-library/Pages/home.aspx,
Glasgow City,Library at GoMA,Royal Exchange Square,,Glasgow ,G1 3AH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/library-at-goma/Pages/home.aspx,
Glasgow City,Library at The Bridge,1000 Westerhouse Road,,Easterhouse,G34 9JW,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/library-at-the-bridge/Pages/home.aspx,
Glasgow City,Maryhill Library,1508 Maryhill Road,,Glasgow,G20 9AD,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/maryhill-library/Pages/home.aspx,
Glasgow City,Milton Library,Milton Community Campus,,204 Liddesdale Road,G22 7QR,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/your-local-library/milton-library/Pages/home.aspx,
Glasgow City,Mitchell Library,North Street ,,Glasgow,G3 7DN,906700091802,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.glasgowlife.org.uk/libraries/the-mitchell-library/Pages/home.aspx,
