Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Havering,Collier Row Library,Collier Row Road,Romford,Essex,RM5 3NR,,Yes,LAL,,,00:00-00:00,00:00-00:00,10:00-16:00,14:00-20:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Elm Park Library,St Nicholas Avenue,Hornchurch,Essex,RM12 4PT,,Yes,LAL,,,00:00-00:00,00:00-00:00,10:00-16:00,14:00-20:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Gidea Park Library,Balgores Lane,Romford,Essex,RM2 6BS,,Yes,LAL,,,00:00-00:00,00:00-00:00,10:00-16:00,14:00-20:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Harold Hill Library,19A Farnham Road,Romford,Essex,RM3 8ED,,Yes,LAL,,,10:00-20:00,09:00-17:00,09:00-17:00,10:00-20:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Harold Wood Library,Arundel Road,Romford,Essex,RM3 0RX,,Yes,LAL,,,00:00-00:00,00:00-00:00,10:00-16:00,14:00-20:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Hornchurch Library,North Street,Hornchurch,Essex,RM11 1TB,,Yes,LAL,,,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,13:00-22:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Rainham Library,Celtic Farm Road,Rainham,Essex,RM13 9GP,,Yes,LAL,,,10:00-20:00,09:00-17:00,10:00-20:00,09:00-17:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Romford Central Library,St. Edwards Way,Romford,Essex,RM1 3AR,,Yes,LAL,,,10:00-20:00,09:00-17:00,10:00-20:00,09:00-17:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,South Hornchurch Library,Rainham Road,Rainham,Essex,RM13 7RD,,Yes,LAL,,,00:00-00:00,00:00-00:00,10:00-16:00,14:00-20:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
Havering,Upminster Library,Corbets Tey Road,Upminster,Essex,RM14 2BB,,Yes,LAL,,,10:00-20:00,09:00-17:00,10:00-20:00,09:00-17:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.havering.gov.uk/libraries,Libraryservices@havering.gov.uk
