Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Isle of Wight Council,Bembridge Community Library,Church Road,Bembridge,Isle of Wight,PO35 5NA,,Yes,CRL,,,09:30-16:00,00:00-00:00,09:00-12:30,00:00-00:00,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,bembridge.community.library@hotmail.co.uk
Isle of Wight Council,Brighstone Community Library,North Street,Brighstone,Isle of Wight,PO30 4AX,,Yes,CRL,,,00:00-00:00,09:00-12:30,00:00-00:00,13:00-16:30,00:00-00:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,brighstonecommunitylibrary@hotmail.co.uk
Isle of Wight Council,Cowes,Beckford Road,Cowes,Isle of Wight,PO31 7SG,,No,LAL,,,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,10:00-17:00,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
Isle of Wight Council,East Cowes Community Library,York Avenue,East Cowes,Isle of Wight,PO32 6RU,,Yes,CRL,,,09:30-12:30,14:00-17:00,09:30-13:30,13:30-16:30,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,eastcoweslibrary@gmail.com
Isle of Wight Council,Freshwater,School Green Road,Freshwater,Isle of Wight,PO40 9AP,,No,LAL,,,09:30-13:00,09:30-16:30,09:30-16:30,00:00-00:00,09:30-16:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
Isle of Wight Council,Lord Louis,Orchard Street,Newport,Isle of Wight,PO30 1LL,100062421516,No,LAL,,,09:00-17:30,09:00-17:30,09:00-17:30,11:00-19:00,09:00-17:30,09:00-17:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
Isle of Wight Council,Niton - Edward Edwards Community Library,"Ols School House, Church Street",Niton,Isle of Wight,PO38 2AZ,,No,CRL,,,14:00-18:00,00:00-00:00,09:00-12:00,00:00-00:00,00:00-00:00,09:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,edwardslibrary@outloook.com
Isle of Wight Council,Ryde,George Street,Ryde,Isle of Wight,PO33 2JE,,Yes,LAL,,,09:00-17:30,09:00-17:30,10:30-19:00,00:00-00:00,09:00-17:30,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
Isle of Wight Council,Sandown,High Street,Sandown,Isle of Wight,PO36 8AF,,Yes,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,09:00-17:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
Isle of Wight Council,Shanklin Community Library,Victoria Avenue,Shanklin,Isle of Wight,PO37 6PG,,No,CRL,,,09:30-17:00,00:00-00:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,shanklincommunitylibrary@hotmail.co.uk
Isle of Wight Council,Ventnor,High Street,Ventnor,Isle of Wight,PO38 1LZ,,Yes,LAL,,,00:00-00:00,09:30-17:00,13:00-18:00,00:00-00:00,09:30-17:00,09:30-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.iwight.com/thelibrary,libraries@iow.gov.uk
