Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
"Kingston upon Hull, City of",Anlaby Park Library,,,,HU4 6XH,,No,ICL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://anlabyparklibrary.com/,
"Kingston upon Hull, City of",Avenues Library,76 Chanterlands Avenue,Hull,East Riding of Yorkshire,HU5 3TS,,No,CL,,,09:30-13:00,14:00-17:30,00:00-00:00,14:00-17:30,09:30-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",Bransholme Library,"NorthPoint Shopping Centre, Goodhart Road",Bransholme,East Riding of Yorkshire,HU7 4EF,,No,CL,,,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",East Park Library,"Central Pavillion, Holderness Road",Hull,East Riding of Yorkshire,HU8 8JU,,No,CL,2018,,10:00-14:00,00:00-00:00,10:00-14:00,00:00-00:00,10:00-14:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Has longer opening hours in the summer,,
"Kingston upon Hull, City of",Fred Moore Library,Wold Road,Hull,East Riding of Yorkshire,HU5 5UN,,No,CL,,,10:00-17:00,00:00-00:00,10:00-17:00,10:00-18:30,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",Freedom Centre Library,"The Freedom Centre, 95 Preston Road",Hull,East Riding of Yorkshire,HU9 3QB,,No,CL,,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-18:00,09:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,"Social Enterprise - Cafe, Gym, Adult Education, Walk-In Health Centre, Function Suite etc",,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",Gipsyville Library,728-730 Hessle High Road,Hull,East Riding of Yorkshire,HU4 6JA,,No,CL,,,09:00-17:00,00:00-00:00,10:00-18:00,00:00-00:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Social Enterprise - Community Development Organisation,,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",Greenwood Avenue Library,220 Greenwood Avenue,Hull,East Riding of Yorkshire,HU6 9RU,,No,CL,,,10:00-17:00,00:00-00:00,10:00-18:30,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hcandl.co.uk/libraries,
"Kingston upon Hull, City of",Holderness Road Customer Service Centre Library,"1 The Mount, Holderness Road",Hull,East Riding of Yorkshire,HU9 2AH,,No,LAL,,2018,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
"Kingston upon Hull, City of",Hull Central Library,Albion Street,Hull,East Riding of Yorkshire,HU1 3TF,10000201794,No,CL,,,09:30-17:00,09:30-17:00,13:00-19:30,09:30-19:30,09:30-13:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.hcandl.co.uk/libraries,
