Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Leeds,Allerton Bywater,"The Old School, Vicars Terrace",Allerton Bywater,West Yorkshire,WF10 2DY,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Leeds,Ardsley & Tingley Library,213a Bradford Road,Tingley,West Yorkshire,WF3 2DL,72525786,No,LAL,,,10:00-17:00,00:00-00:00,10:00-18:00,00:00-00:00,10:00-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Armley Heights,36 Heights Drive,Armley,West Yorkshire,LS12 3SU,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Leeds,Armley Library,2 Stock's Hill,Armley,West Yorkshire,LS12 1UQ,72200214,No,LAL,,,10:00-19:00,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Beeston Library,"Units 5 & 6 Beeston District Centre,Town Street",Beeston,West Yorkshire,LS11 8PN,72217675,No,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-18:00,11:00-14:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Belle Isle,"Aberfield Gate, Belle Isle Road",Leeds,West Yorkshire,LS10 3QH,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Leeds,Boston Spa Library,High Street,Boston Spa,West Yorkshire,LS23 6BH,72331192,No,LAL,,,09:00-12:00,00:00-00:00,10:00-17:00,00:00-00:00,09:00-12:00,09:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Bramley Library,Hough lane,Bramley,West Yorkshire,LS13 3ND,72102520,No,LAL,,,09:00-19:00,09:00-18:00,09:00-17:00,10:00-17:00,09:00-17:00,10:00-15:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Broad Lane,540 Broad Lane,Leeds,West Yorkshire,LS28 6PA,,No,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Leeds,Burley Library,Cardigan Road,Leeds,West Yorkshire,LS6 1QL,,No,LAL,,2016,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Leeds,Calverley Library,Thornhill Street,Calverley,West Yorkshire,LS28 5PD,72557349,No,LAL,,,14:00-17:00,09:00-13:00,00:00-00:00,14:00-18:00,09:00-13:00,10:00-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Chapel Allerton Library,106 Harrogate Road,Chapel Allerton,West Yorkshire,LS7 4LZ,72564851,No,LAL,,,10:00-17:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Chapeltown Library,"The Reginald Centre, 263 Chapeltown Road",Leeds,West Yorkshire,LS7 3EX,72786431,No,LAL,,,09:00-17:00,09:00-19:00,10:00-17:00,09:00-17:00,09:00-17:00,11:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Compton Road Library,"The Compton Centre, Harehills Lane",Leeds,West Yorkshire,LS9 7BG,72786432,No,LAL,,,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,10:00-19:00,10:00-16:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Crossgates Library,"Farm Road, Crossgates",Leeds,West Yorkshire,LS15 7LB,72067389,No,LAL,,,10:00-17:00,10:00-17:00,09:00-19:00,09:00-19:00,10:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Dewsbury Road Library,190 Dewsbury Road,Leeds,West Yorkshire,LS11 6PF,72512382,No,LAL,,,09:00-18:00,09:00-17:00,10:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Drighlington,Moorland Road,Bradford,West Yorkshire,BD11 1JZ,,No,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.drighlingtonprimary.co.uk/community,
Leeds,Farsley Library,Old Road,Farsley,West Yorkshire,LS28 5DH,72275249,No,LAL,,,10:00-18:00,00:00-00:00,10:00-18:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Garforth Library & One-Stop Centre,Lidgett Lane,Garforth,West Yorkshire,LS25 1EH,72555707,No,LAL,,,09:00-19:00,09:00-17:00,09:00-19:00,09:00-18:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Gildersome Library,"Meeting Hall, Town Street",Gildersome,West Yorkshire,LS27 7AB,72356280,No,LAL,,,14:00-17:00,00:00-00:00,14:00-17:00,00:00-00:00,14:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Guiseley Library,"Aireborough Leisure Centre, The Green",Guiseley,West Yorkshire,LS20 9BT,72786433,No,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Halton Library,273 Selby Road,Halton,West Yorkshire,LS15 7JR,72182021,No,LAL,,,12:00-17:00,10:00-17:00,12:00-17:00,10:00-19:00,10:00-19:00,10:00-15:00,12:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
Leeds,Hawksworth Community Hub,6 Broadway,Hawksworth Wood,West Yorkshire,LS5 3PR,72786442,No,LAL,2018,,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://leeds.gov.uk/libraries,libraryenquiries@leeds.gov.uk
