Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Ealing,Acton Town Hall Library,"Everyone Active Acton Centre, High Street",Acton,Middlesex,W3 6NE,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Everyone Active,,,actonlibrary@ealing.gov.uk
London Borough of Ealing,Ealing Central Library,"103 Ealing Broadway Centre, The Broadway",London,Middlesex,W5 5JY,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,centrallibrary@ealing.gov.uk
London Borough of Ealing,Greenford Library,Oldfield Lane South,Greenford,Middlesex,UB6 9LG,12001186,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,greenfordlibrary@ealing.gov.uk
London Borough of Ealing,Hanwell Library,Cherington Road,London,Middlesex,W7 3HL,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,hanwelllibrary@ealing.gov.uk
London Borough of Ealing,Jubilee Gardens Library,"Jubilee Gardens Health Centre, Jubilee Gardens",Southall,Middlesex,UB1 2TJ,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community health Partnerships,,,jubileegardenslibrary@ealing.gov.uk
London Borough of Ealing,Northfields Library,Northfield Avenue,London,Middlesex,W5 4UA,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,northfieldslibrary@ealing.gov.uk
London Borough of Ealing,Northolt Leisure Centre Library,"Northolt Leisure Centre, Eastcote Lane North",Northolt,Middlesex,UB5 4AB,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Everyone Active,,,northoltleisurelibrary@ealing.gov.uk
London Borough of Ealing,Northolt Library,Church Road,Northolt,Middlesex,UB5 5AS,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,northoltlibrary@ealing.gov.uk
London Borough of Ealing,Perivale Library,Horsenden Lane South,Greenford,Middlesex,UB6 7NT,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,perivalelibrary@ealing.gov.uk
London Borough of Ealing,Pitshanger Library,143-145 Pitshanger Lane,London,Middlesex,W5 1RH,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,pitshangerlibrary@ealing.gov.uk
London Borough of Ealing,Southall Library (Dominion Centre & Library),112 The Green,Southall,Middlesex,UB2 4BQ,,Yes,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-17:00,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Dominion Centre and Library,,,southalllibrary@ealing.gov.uk
London Borough of Ealing,West Ealing Library,Melbourne Avenue,London,Middlesex,W13 9BT,,Yes,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,westealinglibrary@ealing.gov.uk
London Borough of Ealing,Wood End Library,Whitton Avenue West,Greenford,Middlesex,UB6 0EE,,Yes,LAL,,,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Children's Centre,,,woodendlibrary@ealing.gov.uk
