Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
London Borough of Waltham Forest,Hale End Library,Catle Avenue,Highams Park,Essex,E4 9QD,,No,LAL,,,00:00-00:00,10:00-18:00,10:00-18:00,00:00-00:00,10:00-18:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/hale-end-library,Lib.hale@walthamforest.gov.uk
London Borough of Waltham Forest,Harrow Green Community Library,"The Junction, 2-4 Cathall Road",Leytonstone,Essex,E11 4LF,,No,ICL,,,15:00-18:00,10:00-19:00,10:00-19:00,10:00-19:00,00:00-00:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://harrowgreenlibrary.wordpress.com/,
London Borough of Waltham Forest,Higham Hill Library,North Countess Road,Walthamstow,Essex,E17 5HS,,No,LAL,,,10:00-18:00,00:00-00:00,00:00-00:00,10:00-18:00,10:00-18:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/higham-hill-library,Lib.higham@walthamforest.gov.uk
London Borough of Waltham Forest,Lea Bridge Library,Lea Bridge Road,Leyton,Essex,E10 7HU,,Yes,LAL,,,00:00-00:00,10:00-18:00,10:00-18:00,10:00-18:00,00:00-00:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/lea-bridge-library,Lib.Leabridge@walthamforest.gov.uk
London Borough of Waltham Forest,Leyton Library,High Road,Leyton,Essex,E10 5QH,10009148151,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-18:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/leyton-library,Lib.Leyton@walthamforest.gov.uk
London Borough of Waltham Forest,Leytonstone Library,6 Church Lane,Leytonstone,Essex,E11 1HG,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-18:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/leytonstone-library,Lib.Leytonstone@walthamforest.gov.uk
London Borough of Waltham Forest,North Chingford Library,The Green,Chingford,Essex,E4 7EN,,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-18:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/north-chingford-library,Lib.Nching@walthamforest.gov.uk
London Borough of Waltham Forest,South Chingford Community Library,265 Chingford Mount Road,London,Essex,E4 8LP,,No,CRL,,,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,00:00-00:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://sites.google.com/site/sccle48lp/home,
London Borough of Waltham Forest,Walthamstow Library,High Street,Walthamstow,Essex,E17 7JN,10024418747,Yes,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-18:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/walthamstow-library,Lib.wood@walthamforest.gov.uk
London Borough of Waltham Forest,Wood Street Library,Forest Road,Walthamstow,Essex,E17 4AA,,Yes,LAL,,,10:00-18:00,10:00-18:00,00:00-00:00,00:00-00:00,10:00-18:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.walthamforest.gov.uk/content/wood-street-library,Lib.hale@walthamforest.gov.uk
