Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Manchester,Abraham Moss Library,Crescent Road,Crumpsall,Greater Manchester,M8 5UF,10090241369,No,LAL,,,09:00-17:00,09:00-17:00,09:00-20:00,00:00-00:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Abraham Moss Leisure Centre,"New library and leisure centre development, due to open in 2022",http://www.manchester.gov.uk/directory_record/87763/abraham_moss_library,crumpsall.library@manchester.gov.uk
Manchester,Arcadia library & Leisure Centre,Yew Tree Avenue,Levenshulme,Greater Manchester,M19 3PH,100012680102,No,LAL,2016,,06:30-22:00,06:30-22:00,06:30-22:00,06:30-22:00,06:30-22:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Arcadia Leisure Centre,,http://www.manchester.gov.uk/directory_record/146625/arcadia_library_and_leisure_centre,levenshulmelibrary@manchester.gov.uk
Manchester,Avenue Library & Learning Centre,Victoria Avenue East,Blackley,Greater Manchester,M9 6HW,10090425393,No,LAL,2015,,09:00-20:00,09:00-17:00,00:00-00:00,09:00-20:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Manchester Adult Education Service,,http://www.manchester.gov.uk/directory_record/87755/avenue_library_and_learning_centre,avenuelibrary@manchester.gov.uk
Manchester,Barlow Moor Community Library,23 Merseybank Avenue,Chorlton,Greater Manchester,M21 7NN,10090669004,No,CRL,,,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Barlow Moor Community Association,,http://www.manchester.gov.uk/directory_record/110747/barlow_moor_community_library,chorltonlibrary@manchester.gov.uk
Manchester,Beswick Library,60 Grey Mare Lane,Beswick,Greater Manchester,M11 3DS,10023053468,Yes,LAL,2011,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-19:00,00:00-00:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,East Manchester Academy,,http://www.manchester.gov.uk/directory_record/110374/beswick_library,beswicklibrary@manchester.gov.uk
Manchester,Brooklands Library,Moor Road,Wythenshawe,Greater Manchester,M23 9BP,10090666478,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-20:00,00:00-00:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Manchester Health Academy,,http://www.manchester.gov.uk/directory_record/110374/beswick_library,brooklandslibrary@manchester.gov.uk
Manchester,"Burnage Library, Activity & Information Hub",Burnage Lane,Burnage,Greater Manchester,M19 1EW,77145208,No,CRL,,,00:00-00:00,10:00-17:00,10:00-17:00,10:00-13:00,14:00-17:00,14:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.manchester.gov.uk/directory_record/87759/burnage_library_activity_and_information_hub,info@burnageactivityhub.org.uk
Manchester,Central Library,St. Peters Square,City Centre,Greater Manchester,M2 5PD,77100348,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Complete transformation - reopening in 2014,http://www.manchester.gov.uk/directory_record/87760/central_library,libraries@manchester.gov.uk
Manchester,Chorlton Library,Manchester Road,Chorlton,Greater Manchester,M21 9PN,10023047970,Yes,LAL,,,09:00-17:00,09:00-20:00,00:00-00:00,09:00-20:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.manchester.gov.uk/directory_record/87761/chorlton_library,chorltonlibrary@manchester.gov.uk
Manchester,Clayton Library,,,,M11 4NE,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Crumpsall & Cheetham Library,Cheetham Hill Road,Crumpsall,Greater Manchester,M8 9JN,,Yes,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Didsbury Library,692 Wilmslow Road,Didsbury,Greater Manchester,M21 9PN,10023049815,Yes,LAL,,,09:00-20:00,09:00-20:00,00:00-00:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.manchester.gov.uk/directory_record/87764/didsbury_library,disburylibrary@manchester.gov.uk
Manchester,Fallowfield Community Library,The Place at Platt Lane,Platt Lane,Greater Manchester,M14 7FB,10023050040,No,CRL,,,13:00-19:00,00:00-00:00,14:00-17:00,10:00-17:00,14:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,The Place,,http://www.manchester.gov.uk/directory_record/87765/fallowfield_community_library,withingtonlibrary@manchester.gov.uk
Manchester,Forum Library Wythenshawe,Forum Square,Wythenshawe,Greater Manchester,M22 5RX,10024148977,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Forum Centre,Internal refurbishment and Open+ installation in 2019,http://www.manchester.gov.uk/directory_record/87766/forum_library_wythenshawe,forumlibrary@manchester.gov.uk
Manchester,Gorton Library,Garratt Way,Gorton,Greater Manchester,M18 8HE,10090665112,Yes,LAL,,,10:00-17:00,10:00-20:00,00:00-00:00,10:00-17:00,14:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.manchester.gov.uk/directory_record/87767/gorton_library,gortonlibrary@manchester.gov.uk
Manchester,Higher Blackely Library,Victoria Avenue,High Blackley,Greater Manchester,M9 0RA,,No,LAL,,2015,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Hulme High Street Library,Hulme High Street,Hulme,Greater Manchester,M15 5NN,10090423975,Yes,LAL,,,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,06:30-21:30,09:00-16:30,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Moss Side Leisure Centre,,http://www.manchester.gov.uk/directory_record/87769/hulme_high_street_library,hulmelibrary@manchester.gov.uk
Manchester,Hulme Library,Hulme Walk,Manchester,Greater Manchester,M15 5FQ,,No,LAL,,2015,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Levenshulme Library,Cromwell Grove,Manchester,Greater Manchester,M19 3QE,,No,LAL,,2016,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Longsight Library & Learning Centre,519 Stockport Road,Longsight,Greater Manchester,M12 4NE,77246618,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Manchester Adult Education Service,,http://www.manchester.gov.uk/directory_record/87771/longsight_library_and_learning_centre,longsightlibrary@manchester.gov.uk
Manchester,Miles Platting Community Library,"Victoria Mill Community Centre, Lower Vickers Street",Miles Platting,Greater Manchester,M40 8EE,77139702,No,CRL,,,00:00-00:00,14:00-17:00,10:00-13:00,13:00-19:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Victoria Mill Community Centre,,http://www.manchester.gov.uk/directory_record/87772/miles_platting_community_library,beswicklibrary@manchester.gov.uk
Manchester,Moss Side Powerhouse Library,140 Raby Street,Moss Side,Greater Manchester,M14 4SL,77117280,Yes,LAL,,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,00:00-00:00,12:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Powerhouse,,http://www.manchester.gov.uk/directory_record/87773/moss_side_powerhouse_library,powerhouselibrary@manchester.gov.uk
Manchester,New Moston Community Library,Nuthurst Road,New Moston,Greater Manchester,M40 3PJ,10023050807,No,CRL,,,14:00-17:00,00:00-00:00,14:00-20:00,00:00-00:00,10:00-13:00,14:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.manchester.gov.uk/directory_record/87774/new_moston_community_library,ncl@manchester.gov.uk
Manchester,Newton Heath Library,Old Church Street,Newton Heath,Greater Manchester,M40 2JB,77242605,Yes,LAL,,,10:00-20:00,10:00-17:00,14:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,External refurbishment 2019,http://www.manchester.gov.uk/directory_record/87775/newton_heath_library,newtonheathlibrary@manchester.gov.uk
Manchester,North City Library,Rochdale Road,Harpurhey,Greater Manchester,M9 4AF,10023058284,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-17:00,09:00-17:00,00:00-00:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,The Manchester College,,http://www.manchester.gov.uk/directory_record/87776/north_city_library,ncl@manchester.gov.uk
Manchester,Northenden Community Library,"Parkway Green House, 460 Palatine Road",Northenden,Greater Manchester,M22 4WL,10023061014,Yes,CRL,,,14:00-17:00,10:00-13:00,10:00-13:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Parkway Green Housing,,http://www.manchester.gov.uk/directory_record/87777/northenden_community_library,forumlibrary@manchester.gov.uk
Manchester,Rack House,,,,M23 0BT,,Yes,LAL,,2011,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Manchester,Withington Library,410 Wilmslow Road,Withington,Greater Manchester,M20 3BN,10023048593,Yes,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Major refurbishment and implementation of Oipen+ 2018,http://www.manchester.gov.uk/directory_record/87778/withington_library,withingtonlibrary@manchester.gov.uk
