Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Norfolk,Acle Library,Bridewell Lane,Acle,Norfolk,NR13 3RA,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Attleborough Library,Connaught Road,Attleborough,Norfolk,NR17 2BW,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Aylsham Library,7 Hungate Street,Aylsham,Norfolk,NR11 6AA,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Blofield Library,North Street,Blofield,Norfolk,NR13 4RQ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Brundall Library,The Street,Brundall,Norfolk,NR13 5LH,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Caister Library,Beach Road,Caister-on-Sea,Norfolk,NR30 5EX,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Costessey Library,Breckland Road,Costessey,Norfolk,NR5 0RW,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Cromer Library,Prince of Wales Road,Cromer,Norfolk,NR27 9HS,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Dereham Library,59 High Street,Dereham,Norfolk,NR19 1DZ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Dersingham Library,Chapel Road,Dersingham,Norfolk,PE31 6PN,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Diss Library,Church Street,Diss,Norfolk,IP22 3DD,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Downham Market Library,"The Priory Centre, Priory Road",Downham Market,Norfolk,PE38 9JS,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Earlham Library,Colman Road,Norwich,Norfolk,NR4 7HG,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Fakenham Library,Oak Street,Fakenham,Norfolk,NR21 9DY,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Gaywood Library,River Lane,King's Lynn,Norfolk,PE30 4HD,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Gorleston Library,Lowestoft Road,Great Yarmouth,Norfolk,NR31 6SG,,No,LAL,,,09:30-17:00,09:30-20:00,09:30-17:00,09:30-20:00,09:30-17:00,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Great Yarmouth Library,Tolhouse Street,Great Yarmouth,Norfolk,NR30 2SH,100091563068,No,LAL,,,09:00-17:00,09:00-17:00,09:00-19:30,09:00-17:00,09:00-17:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Harleston Library,Swan Lane/Paddock Road,Harleston,Norfolk,IP20 9AW,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Hellesdon Library,Middleton's Lane,Norwich,Norfolk,NR6 5SR,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Hethersett Library,Queens Road,Hethersett,Norfolk,NR9 3DB,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Hingham Library,The Fairland,Hingham,Norfolk,NR9 4HW,,No,LAL,,,00:00-00:00,14:00-19:00,00:00-00:00,10:00-19:00,00:00-00:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Holt Library,"Wansbeck House, 9 Church Street",Holt,Norfolk,NR25 6BB,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Hunstanton Library,7 Westgate,Hunstanton,Norfolk,PE36 5AL,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Kings Lynn Library,London Road,King's Lynn,Norfolk,PE30 5EZ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Loddon Library,31 Church Plain,Loddon,Norfolk,NR14 6EX,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Long Stratton Library,The Street,Long Stratton,Norfolk,NR15 2XJ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Martham Library,Black Street,Martham,Norfolk,NR29 4PR,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Mile Cross Library,Aylsham Road,Norwich,Norfolk,NR3 2RJ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Mundesley Library,16/18 Cromer Road,Mundesley,Norfolk,NR11 8BE,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Norfolk & Norwich Millennium Library,"The Forum, Millennium Plain",Norwich,Norfolk,NR2 1AW,10090188756,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,09:00-17:00,10:30-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,North Walsham Library,New Road,North Walsham,Norfolk,NR28 9DE,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Plumstead Road Library,Plumstead Road,Norwich,Norfolk,NR1 4JS,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Poringland Library,Overtons Way,Poringland,Norfolk,NR14 7WB,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Reepham Library,"Bircham Institute, Market Place",Reepham,Norfolk,NR10 4JJ,,No,LAL,,,14:00-19:00,00:00-00:00,09:30-17:00,00:00-00:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Sheringham Library,New Road,Sheringham,Norfolk,NR26 8EB,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Sprowston Library,Recreation Ground Road,Sprowston,Norfolk,NR7 8EW,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Stalham Library,High Street,Stalham,Norfolk,NR12 9AN,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,St Williams Way Library,"St William's Way, 11 Williams Loke",Norwich,Norfolk,NR7 0AJ,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Swaffham Library,The Pightle,Swaffham,Norfolk,PE37 7DF,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Taverham Library,Sandy Lane,Norwich,Norfolk,NR8 6JR,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Thetford Library,2 Raymond Street,Thetford,Norfolk,IP24 2EA,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Tuckswood Library,Robin Hood Road,Norwich,Norfolk,NR4 6BX,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Watton Library,George Trollope Road,Watton,Norfolk,IP25 6AS,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
Norfolk,Wells Library,35 Station Road,Wells-next-the-Sea,Norfolk,NR23 1EA,,No,LAL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.norfolk.gov.uk/libraries-local-history-and-archives/libraries,
