Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North East Lincolnshire,Centre4 Community Library Nunsthorpe,"Centre4, 17a Wooton Road",Grimsby,Lincolnshire,DN33 1HE,,No,ICL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Community Hub,,https://www.centre4.org.uk/Centre4_Library,
North East Lincolnshire,Cleethorpes Library,Alexandra Road,Cleethorpes,Lincolnshire,DN35 8LG,,No,CL,,,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,00:00-00:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.lincsinspirelibraries.com/,Cleethorpes.library@lincsinspire.com
North East Lincolnshire,Grant Thorold Library,Durban Road,Grimsby,Lincolnshire,DN32 8BX,,No,ICL,,,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Community Hub,,,
North East Lincolnshire,Grimsby Central Library,Town Hall Square,Grimsby,Lincolnshire,DN31 1HG,11069903,No,CL,,,00:00-00:00,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.lincsinspirelibraries.com/,Grimsby.Library@lincsinspire.com
North East Lincolnshire,Humberston Library,"The Gingerbread House, Church Lane",Humberston,Lincolnshire,DN36 4HT,,No,ICL,,,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Tea Room,,https://www.facebook.com/TheGingerbreadHouseHumberston/,
North East Lincolnshire,Immingham Library,Pelham Road,Immingham,Lincolnshire,DN40 1QF,,No,LAL,,2016,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
North East Lincolnshire,Immingham Library,Immingham Civic Hub,Immingham,Lincolnshire,DN40 1QF,,No,CL,,,08:30-17:30,08:30-17:30,00:00-00:00,08:30-17:30,08:30-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Community Hub,Relocated from previous site into Civic centre,https://www.lincsinspirelibraries.com/,Immingham.Library@lincsinspire.com
North East Lincolnshire,Laceby Library,"Stanford Centre, Cooper Lane",Laceby,Lincolnshire,DN37 7AX,,No,ICL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
North East Lincolnshire,Nunsthorpe Library,"Nunsthorpe Community Campus, Sutcliffe Avenue",Grimsby,Lincolnshire,DN33 1AW,,No,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
North East Lincolnshire,Scartho Library,St. Giles Avenue,Grimsby,Lincolnshire,DN33 2HB,,No,ICL,,,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://scarthoe.wixsite.com/scartholibrary,
North East Lincolnshire,Waltham Library,High Street,Waltham,Lincolnshire,DN37 0LL,,No,CL,,,00:00-00:00,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.lincsinspirelibraries.com/,Waltham.library@lincsinspire.com
North East Lincolnshire,Willows Library,Binbrook Way,Grimsby,Lincolnshire,DN37 9AS,,No,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
