Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
North Lincolnshire,Ashby Library,"Ashby Link, Ashby High Street",Scunthorpe,North Lincolnshire,DN16 2RY,10091168673,No,LAL,,,09:00-17:00,09:00-16:00,09:00-14:00,09:00-16:00,09:00-16:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Adult Learning,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Barton-upon-Humber Library,"Baysgarth Park, Brigg Road",Barton-upon-Humber,North Lincolnshire,DN18 5DT,10091172528,No,LAL,2019,,09:00-18:00,09:00-17:00,09:00-16:00,09:00-17:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Leisure Centre & Community Wellbeing,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Bottesford Library,Cambridge Avenue,Scunthorpe,North Lincolnshire,DN16 3LG,10091168695,No,LAL,2013,,13:00-17:00,00:00-00:00,13:00-19:00,10:00-13:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Brigg Library,"The Angel, Market Place",Brigg,North Lincolnshire,DN20 8LD,10024384197,No,LAL,2012,,09:00-17:30,09:00-17:30,09:00-16:30,09:00-17:30,09:00-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Heritage Centre,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Broughton Jubilee Library,59 High Street,Broughton,North Lincolnshire,DN20 0JX,10024384198,No,CRL,2012,,09:30-12:00,09:30-12:00,13:00-17:00,13:00-17:00,00:00-00:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Crowle Library,"Crowle Community Hub, 52-54 High Street",Crowle,North Lincolnshire,DN17 4LB,100051969646,No,LAL,,,10:00-19:00,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closed 1-2pm for lunch,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Epworth Library,"Chapel Street, Epworth",Doncaster,North Lincolnshire,DN9 1HQ,100052196316,No,LAL,,,13:00-17:00,16:00-19:00,09:00-14:00,00:00-00:00,14:00-19:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Goxhill Library,"The Parish Room, Howe Lane",Barrow-upon-Humber,North Lincolnshire,DN19 7HS,200000881468,No,CRL,,,15:30-19:00,00:00-00:00,14:00-17:00,00:00-00:00,15:00-18:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Haxey Library,The Memorial Hall,Doncaster,North Lincolnshire,DN9 2HH,10091168987,No,LAL,,,14:00-18:00,10:00-13:00,14:00-17:00,00:00-00:00,15:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Kirton in Lindsey Library,20 King Edward Street,Gainsborough,North Lincolnshire,DN21 4NQ,200000877952,No,LAL,,,00:00-00:00,14:00-18:00,10:00-13:00,00:00-00:00,09:30-15:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
North Lincolnshire,Messingham Library,Wendover Road,Messingham,North Lincolnshire,DN17 3SN,100051969207,No,LAL,,,14:00-17:00,09:00-13:00,14:00-18:00,00:00-00:00,10:00-19:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/,library.enquiries@northlincs.gov.uk
