Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
North Yorkshire,Barlby Library & Community Hub,Howden Road,Selby,North Yorkshire,YO8 5JE,,Yes,CRL,,,00:00-00:00,14:00-19:00,14:00-17:00,00:00-00:00,14:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Bedale Library,Bedale Hall,Bedal,North Yorkshire,DL8 1AA,,Yes,LAL,,,14:00-17:00,10:00-16:00,14:00-17:00,15:00-18:00,10:00-16:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Bentham Library,Main Street,Lancester,North Yorkshire,LA2 7JU,,No,CRL,,,14:30-17:00,00:00-00:00,10:00-14:00,00:00-00:00,14:30-16:30,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Bilton & Woodfield Community Library,"Woodfield Primary School, Woodfield Road",Harrogate,North Yorkshire,HG1 4HZ,,No,CRL,,,13:00-19:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Boroughbridge Library,17 St. James Square,York,North Yorkshire,YO51 9AR,,Yes,LAL,,,14:00-17:00,14:00-17:00,10:00-13:00,10:00-13:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Catterick Library,Gough Road,Catterick Garrison,North Yorkshire,DL9 3EL,,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-19:00,10:00-19:00,10:00-13:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Colburn Library,The Broadway,Catterick Gardens,North Yorkshire,DL9 4RF,,Yes,LAL,,,14:00-17:00,14:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Crosshills Library,Main Street,Keighley,North Yorkshire,BD20 8TQ,,Yes,LAL,,,14:00-19:00,00:00-00:00,10:00-13:00,14:00-17:00,14:00-19:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,Previously called South Craven community library,,
North Yorkshire,Derwent Valley Bridge Community Library,3 Pickering Road,Scarborough,en4,YO13 9JE,,Yes,CRL,,,00:00-00:00,10:00-19:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
North Yorkshire,Easingwold Library,Marketplace,York,North Yorkshire,YO61 3AN,,Yes,LAL,,,10:00-17:00,14:00-17:00,00:00-00:00,13:00-18:00,09:30-17:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
