Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Northumberland,Allendale Library,Dawson Place,Hexham,Northumberland,NE47 9PP,,No,LAL,,,00:00-00:00,10:00-12:00,00:00-00:00,12:30-18:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.mylibrary.co.uk/,
Northumberland,Alnwick Library,Green Batt,Alnwick,Northumberland,NE66 1PQ,,No,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Theatre,,http://www.mylibrary.co.uk/,
Northumberland,Amble Library,Middleton Street,Amble,Northumberland,NE65 0ET,,No,LAL,,,10:00-19:00,00:00-00:00,10:00-19:00,00:00-00:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland,Ashington Library,"Ashington Leisure Centre, Portland Park",Ashington,Northumberland,NE63 9JY,,No,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Leisure Centre,,http://www.mylibrary.co.uk/,
Northumberland,Bedlington Library,Glebe Road,Bedlington,Northumberland,NE22 6JX,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Customer Services,,http://www.mylibrary.co.uk/,
Northumberland,Bedlington Station Library,Station Road,Bedlington,Northumberland,NE22 5HB,,No,LAL,,,13:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,13:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.mylibrary.co.uk/,
Northumberland,Bellingham Library,"Bellingham Town Hall, Manchester Square",Bellingham,Northumberland,NE48 2AS,,No,LAL,,,00:00-00:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Town Hall,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland,Berwick Library,Walkergate,Berwick-upon-Tweed,Northumberland,TD15 1DB,,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Number of Council Services,,http://www.mylibrary.co.uk/,
Northumberland,Blyth Library,Bridge Street,Blyth,Northumberland,NE24 2DJ,,No,LAL,,,09:00-19:00,09:00-19:00,09:00-17:00,09:00-19:00,09:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Customer Services,,http://www.mylibrary.co.uk/,
Northumberland,Corbridge Library,Hill Street,Corbridge,Northumberland,NE45 5AA,,No,LAL,,,00:00-00:00,00:00-00:00,11:00-16:00,00:00-00:00,11:00-16:00,11:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Youth Project,Lunchtime closure,http://www.mylibrary.co.uk/,
Northumberland,Cowpen,"Community College, Chase Farm Drive",Blyth,Northumberland,NE24 4JP,,No,CRL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.mylibrary.co.uk/,
