Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Oxfordshire County Council,Abingdon,The Charter,Abingdon,Oxfordshire,OX14 3LY,100121312766,No,LAL,,,09:00-19:00,09:00-19:00,09:00-19:00,09:00-13:00,09:00-19:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.oxfordshire.gov.uk/libraries,abingdon.library@oxfordshire.gov.uk
Oxfordshire County Council,Adderbury,"Church House, High Street",Adderbury,Oxfordshire,OX17 3LS,,No,CRL,,,00:00-00:00,10:00-17:00,00:00-00:00,16:00-19:00,10:00-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Church Hall,Closes for lunch 1-2 on Tues and Fri,https://www.oxfordshire.gov.uk/libraries,adderbury.library@oxfordshire.gov.uk
Oxfordshire County Council,Bampton,"Old Grammar School, Church View",Bampton,Oxfordshire,OX18 2NE,,No,CRL,,,14:00-19:00,00:00-00:00,10:00-12:30,14:00-17:00,00:00-00:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closes 5-5.30 on Mon,https://www.oxfordshire.gov.uk/libraries,bampton.library@oxfordshire.gov.uk
Oxfordshire County Council,Banbury,Marlborough Road,Banbury,Oxfordshire,OX16 5DB,,No,LAL,,,09:00-13:00,09:00-19:00,09:00-20:00,09:00-19:00,09:00-19:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.oxfordshire.gov.uk/libraries,banbury.library@oxfordshire.gov.uk
Oxfordshire County Council,Barton Community Library,"Barton Neighbourhood Centre, Underhill Circus",Headington,Oxfordshire,OX3 9LS,10024241450,No,CRL,2019,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,"Community Centre, GP, Food Bank, Cafe, Sports Hall",New library,https://www.oxfordshire.gov.uk/libraries,barton.communitylibrary@oxfordshire.gov.uk
Oxfordshire County Council,Benson,Castle Square,Wallingford,Oxfordshire,OX10 6SD,,No,CRL,,,14:00-18:00,09:00-17:00,00:00-00:00,14:00-19:00,09:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Closes for lunch 12.30-2 on Tues and Fri,https://www.oxfordshire.gov.uk/libraries,benson.library@oxfordshire.gov.uk
Oxfordshire County Council,Berinsfield,Green Furlong,Berinsfield,Oxfordshire,OX10 7NR,,No,LAL,,,00:00-00:00,10:00-19:00,10:00-17:30,14:00-17:30,10:00-17:00,10:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,"Closes for lunch 12.30-2 on Tues, Weds, and Fri",https://www.oxfordshire.gov.uk/libraries,berinsfield.library@oxfordshire.gov.uk
Oxfordshire County Council,Bicester,"Franklins House, Weslet Lane",Bicester,Oxfordshire,OX26 6JU,,No,LAL,2016,,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,09:30-17:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,District Council Offices,Replaced Old Place Yard,https://www.oxfordshire.gov.uk/libraries,bicester.library@oxfordshire.gov.uk
Oxfordshire County Council,Bicester,Old Place Yard,Bicester,Oxfordshire,OX26 6AU,,Yes,LAL,,2016,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Moved to Franklins House,,
Oxfordshire County Council,Blackbird Leys,Blackbird Leys Road,Oxford,Oxfordshire,OX4 6HT,,No,LAL,,,09:00-17:00,09:00-12:00,09:00-17:00,09:00-17:00,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,"Closes for lunch 12-13.30 Mon, Weds and Thurs",https://www.oxfordshire.gov.uk/libraries,blackbirdleys.library@oxfordshire.gov.uk
