Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Pen-y-bont ar Ogwr,Aberkenfig Library,Heol y Llyfrau,Aberkenfig,Bridgend,CF32 9PT,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/aberkenfig-library/,mailto:aberkenfig.library@awen-wales.com
Pen-y-bont ar Ogwr,Betws Library,Betws Centre,Betws,Bridgend,CF32 8TB,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/betws-library/,mailto:betws.library@awen-wales.com
Pen-y-bont ar Ogwr,Blaengarw Library,Blaengarw Infants School,Station Street,Blaengarw,CF32 8BA,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,,
Pen-y-bont ar Ogwr,Bridgend Library,Bridgend Life Centre,Angel Street,Bridgend,CF31 4AH,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/bridgend-library/,mailto:bridgend.library@awen-wales.com
Pen-y-bont ar Ogwr,Maesteg Library,North's Lane,Maesteg,Bridgend,CF34 9AA,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/maesteg-library/,mailto:maesteg.library@awen-wales.com
Pen-y-bont ar Ogwr,Ogmore Vale Library,Ogmore Valley Life Centre,Cwrt Gwalia,Bridgend,CF32 7AJ,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/ogmore-vale-library/,mailto:ovlc-receptiongroup@haloleisure.org.uk
Pen-y-bont ar Ogwr,Pencoed Library,Penybont Road,Pencoed,Bridgend,CF35 5RA,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/pencoed-library/,mailto:pencoed.library@awen-wales.com
Pen-y-bont ar Ogwr,Pontycymer Library,107 Oxford Street,Pontycymer,Bridgend,CF32 8DE,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/pontycymer-library/,mailto:gvlc-receptiongroup@haloleisure.org.uk
Pen-y-bont ar Ogwr,Porthcawl Library,Church Place,Porthcawl,Bridgend,CF36 3AG,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/porthcawl-library/,mailto:porthcawl.library@awen-wales.com
Pen-y-bont ar Ogwr,Pyle Life Centre,Pyle Life Centre,Helig Fan,Bridgend,CF33 6BS,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/pyle-library/,mailto:pyle.library@awen-wales.com
Pen-y-bont ar Ogwr,Sarn Library,Lifelong learning Centre,Merfield Close,Bridgend,CF32 9SW,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/sarn-library/,mailto:sarn.library@awen-wales.com
Pen-y-bont ar Ogwr,Ty'r Ardd Library,Ty'r Ardd,Sunnyside,Bridgend,CF31 4AR,10033000034,Yes,CL,,,,,,,,,,,,,,,,,,No,,,,
Pen-y-bont ar Ogwr,Y Llynfi Library,Maesteg Sports Centre,Old Forge Site,Nant-y-Crynwyd,CF34 9EB,,Yes,CL,,,,,,,,,,,,,,,,,,No,,,http://www.awen-libraries.com/y-llynfi-library/,mailto:yllynfi.library@awen-wales.com
