Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Peterborough City Council,Bretton,The Cresset,Peterborough,Cambridgeshire,PE3 8DS,,Yes,CL,,,09:30-17:00,00:00-00:00,09:00-17:00,09:30-17:00,09:30-17:00,08:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/bretton-library/,brettonlibrary@vivacity.org
Peterborough City Council,Dogsthorpe,Central Avenue,Peterborough,Cambridgeshire,PE1 4LH,,Yes,CL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/dogsthorpe-library/,dogsthorpelibrary@vivacity.org
Peterborough City Council,Eye,Crowland Road,Peterborough,Cambridgeshire,PE6 7TN,,Yes,CL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Eye Youth Centre,,https://vivacity.org/libraries/eye-library/,eyelibrary@vivacity.org
Peterborough City Council,Hampton,Clayburn Road,Peterborough,Cambridgeshire,PE7 8GL,,Yes,CL,2013,,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,08:30-18:00,08:30-20:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Hampton Leisure Centre,,https://vivacity.org/libraries/hampton-library/,hamptonlibrary@vivacity.org
Peterborough City Council,Hampton,Serpentine Green,Peterborough,Cambridgeshire,PE7 8BE,,Yes,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Hampton Medical Centre,,,
Peterborough City Council,Orton,Bushfield,Peterborough,Cambridgeshire,PE2 5RQ,,No,CL,2013,,10:30-17:30,09:30-17:00,00:00-00:00,09:30-17:00,10:30-17:30,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Ormiston Bushfield Academy,,https://vivacity.org/libraries/orton-library/,ortonlibrary@vivacity.org
Peterborough City Council,Orton,Bushfield,Peterborough,Cambridgeshire,PE2 5RQ,,Yes,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Ormiston Bushfield Academy,Moved to a new build library on the same site,,
Peterborough City Council,Peterborough Central,Broadway,Peterborough,Cambridgeshire,PE1 1RX,10008070538,No,CL,,,09:00-19:00,09:00-19:00,08:00-19:00,09:00-19:00,09:00-19:00,09:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/peterborough-central-library-archives/,centrallibrary@vivacity.org
Peterborough City Council,Stanground,Southfields Avenue,Peterborough,Cambridgeshire,PE2 8RZ,,Yes,CL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/stanground-library/,stangroundlibrary@vivacity.org
Peterborough City Council,Thorney,Church Street,Peterborough,Cambridgeshire,PE6 0QB,,Yes,CL,,,00:00-00:00,00:00-00:00,09:00-18:00,00:00-00:00,09:00-17:00,09:00-17:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/thorney-library/,thorneylibrary@vivacity.org
Peterborough City Council,Werrington,Staniland Way,Peterborough,Cambridgeshire,PE4 6JT,,Yes,CL,,,09:30-12:30,14:00-17:30,00:00-00:00,14:00-17:30,09:30-12:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Ken Stimpson Community School,,https://vivacity.org/libraries/werrington-library/,werringtonlibrary@vivacity.org
Peterborough City Council,Woodston,Orchard Street,Peterborough,Cambridgeshire,PE2 9AL,,Yes,CL,,,00:00-00:00,09:00-18:00,00:00-00:00,09:00-17:00,00:00-00:00,09:00-17:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://vivacity.org/libraries/woodston-library/,woodstonlibrary@vivacity.org
