Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Redcar and Cleveland,Brotton Library,"Freebrough Academy, Linden Road",Saltburn-by-the-Sea,North Yorkshire,TS12 2SJ,10034524814,Yes,LAL,,,00:00-00:00,09:03-17:00,00:00-00:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Dormanstown Library,3 Farndale Square,Redcar,North Yorkshire,TS10 5HQ,100110776390,Yes,LAL,,,00:00-00:00,09:30-17:00,00:00-00:00,00:00-00:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Grangetown Library,172 Birchington Avenue,Middlesbrough,North Yorkshire,TS6 7LP,200002525383,Yes,LAL,,,09:00-17:00,00:00-00:00,10:00-17:00,10:00-16:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Guisborough Library,90 Westgate,Guisborough,North Yorkshire,TS14 6AP,100110777853,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Laburnum Road Library,338 Laburnum Road,Redcar,North Yorkshire,TS10 3QR,100110793123,Yes,LAL,,,00:00-00:00,09:30-17:00,09:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Loftus Library,Hall Grounds,Saltburn-by-the-Sea,North Yorkshire,TS13 4HJ,100110777711,Yes,LAL,,,09:00-17:00,00:00-00:00,10:00-16:00,10:00-17:00,10:00-17:00,09:00-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Marske Library,Windy Hill Lane,Redcar,North Yorkshire,TS11 7BL,10034523598,Yes,LAL,,,09:00-17:00,10:00-16:00,10:00-17:00,00:00-00:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Ormesby Library,Sunnyfield,Middlesbrough,North Yorkshire,TS7 9BL,10034518811,Yes,LAL,,,09:00-17:00,10:00-17:00,00:00-00:00,10:00-16:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Redcar Library,"Redcar & Cleveland House,  Kirkleatham Street",Redcar,North Yorkshire,TS10 1RT,10034521525,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,09:00-18:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Roseberry Library,Roseberry Road,Redcar,North Yorkshire,TS10 4NY,10023908103,Yes,LAL,,,11:00-17:00,11:00-17:00,10:00-15:30,09:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Saltburn Library,Windsor Road,Saltburn-by-the-Sea,North Yorkshire,TS12 1AT,10034524478,Yes,LAL,,,10:00-17:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,Skelton Library,Consiton Road,Saltburn-by-the-Sea,North Yorkshire,TS12 2HN,10034523790,Yes,LAL,,,09:00-17:00,10:00-17:00,00:00-00:00,10:00-16:00,10:00-17:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Redcar and Cleveland,South Bank Library,Normanby Road,Middlesbrough,North Yorkshire,TS6 6TD,10023902383,Yes,LAL,,,09:00-18:00,09:00-18:00,09:00-17:00,09:00-18:00,09:00-18:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
