Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Rhondda Cynon Taf,Abercynon Library,Ynysmeurig Road,Abercynon,Rhondda Cynon Taf,CF45 4SU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/AbercynonLibrary.aspx,mailto:Abercynon.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Aberdare Library,Green Street,Aberdare,Rhondda Cynon Taf,CF44 7AG,200002936997,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/AberdareLibrary.aspx,mailto:aberdare.library@rhondda-cynon-taf.gov.uk
Rhondda Cynon Taf,Beddau Library,Tynant Road,Beddau,Pontypridd,CF38 2DA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Rhondda Cynon Taf,Church Village Library,Garth Olwg Community Campus,Off St Illtyd’s Road,Church Village,CF38 1RQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/ChurchVillageLibrary.aspx,mailto:ChurchVillage.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Ferndale Library,High Street,Ferndale,Rhondda Cynon Taf,CF43 4RH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/FerndaleLibrary.aspx,mailto:Ferndale.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Hirwaun Library,High Street,Hirwaun,Rhondda Cynon Taf,CF44 9SW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/HirwaunLibrary.aspx,mailto:Hirwaun.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Llantrisant Library,Llantrisant Community Library,Llantrisant Leisure Centre,Southgate Park,CF72 8EB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/LlantrisantLibrary.aspx,mailto:Llantrisant.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Maerdy Library,Library,Dyfodwg Street,Treorchy,CF42 6NN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Rhondda Cynon Taf,Mountain Ash Library,Knight Street,Mountain Ash,Rhondda Cynon Taf,CF45 3EY,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/MountainAshLibrary.aspx,mailto:MountainAsh.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Pontyclun Library,Heol-y-Felin,Pontyclun,,CF72 9BE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/PontyclunLibrary.aspx,mailto:Pontyclun.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Pontypridd Library,Library Road,Pontypridd,Rhondda Cynon Taf,CF37 2DY,200002935309,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/SchoolsandLearning/Libraries/Librarylocationsandopeninghours/PontypriddLibrary.aspx,mailto:Pontypridd.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Porth Library,Porth Plaza,Pontypridd Road,Porth,CF39 9PG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/PorthLibrary.aspx,mailto:Porth.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Rhydyfelin Library,Poplar Road,Rhydyfelin,Rhondda Cynon Taf,CF37 5LR,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/RhydyfelinLibrary.aspx,mailto:Rhydyfelin.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Taffs Well Library,Scimitar Court,Cardiff Road,Taff's Well,CF15 7RF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Rhondda Cynon Taf,Tonypandy Library,De Winton Street,Tonypandy,Rhondda Cynon Taf,CF40 2QZ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/TonypandyLibrary.aspx,mailto:Tonypandy.Library@rctcbc.gov.uk
Rhondda Cynon Taf,Tonyrefail Library,Porth Street,Porth,,CF39 9RT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Rhondda Cynon Taf,Treherbert Library,Bute Street,Treorchy,,CF42 5NR,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,,
Rhondda Cynon Taf,Treorchy Library,Station Road,Treorchy,Rhondda Cynon Taf,CF42 6NN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.rctcbc.gov.uk/EN/Resident/Libraries/Librarylocationsandopeninghours/TreorchyLibrary.aspx,
