Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Rochdale,Alkrington Library,Kirkway,Middleton,Greater Manchester,M24 1LW,,Yes,LAL,,,09:30-19:30,00:00-00:00,00:00-00:00,09:30-17:30,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Balderstone Library,Balderstone Park,Rochdale,Greater Manchester,OL11 2HD,,Yes,LAL,,,09:30-19:30,09:30-12:30,00:00-00:00,09:30-17:30,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Belfield Library,Samson Street,Rochdale,Greater Manchester,OL16 2XW,,Yes,LAL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Castleton Library,Manchester Road,Rochdale,Greater Manchester,OL11 3AF,,No,LAL,,,09:30-19:30,09:30-12:30,00:00-00:00,09:30-17:30,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Darnhill Library,Argyle Parade,Heywood,Greater Manchester,OL10 3RY,,No,LAL,,,09:00-15:30,09:00-15:30,00:00-00:00,09:00-17:30,09:00-15:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Heywood Library,Lance Corporal Stephen Shaw M C Way,Heywood,Greater Manchester,OL10 1LL,23030779,Yes,LAL,,,10:00-19:30,09:30-17:30,09:30-12:30,09:30-17:30,09:30-17:30,09:30-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Junction Community Library,"Jumbo Social Centre, Grimshaw Lane",Middleton,Greater Manchester,M24 2BW,,Yes,LAL,,,14:00-17:30,14:00-17:30,00:00-00:00,14:00-17:30,14:00-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Langley library,Windermere Road,Middleton,Greater Manchester,M24 4LA,,Yes,LAL,,,09:30-19:30,09:30-17:30,00:00-00:00,09:30-17:30,13:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Littleborough Library,"Hare Hill Park,",Littleborough,Greater Manchester,OL15 9HE,,Yes,LAL,,,09:30-19:30,09:30-17:30,00:00-00:00,00:00-00:00,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Local Studies Library - Touchstones,"Touchstones Rochdale, The Esplanade",Rochdale,Greater Manchester,OL16 1AQ,,Yes,CL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
Rochdale,Middleton Library,Long Street,Middleton,Greater Manchester,M24 6DU,,Yes,LAL,,,09:00-19:30,09:00-19:30,09:00-12:30,09:00-17:30,09:00-17:30,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.rochdale.gov.uk/libraries/,
