Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Scottish Borders,Coldstream Library Contact Centre,Gateway Centre,,Coldstream,TD12 4AE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/coldstream_library_contact_centre(1).aspx,
Scottish Borders,Duns Library Contact Centre ,49 Newtown Street,,Duns,TD11 3AU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/duns_library_contact_centre(1).aspx,
Scottish Borders,Earlston Library,Earlston High School,,East End,TD4 6JP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/earlston_library(1).aspx,
Scottish Borders,Eyemouth Library,Manse Road,,Eyemouth,TD14 5JE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/eyemouth_library(1).aspx,
Scottish Borders,Galashiels Library,Lawyers Brae,,Galashiels,TD1 3JQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/galashiels_library(1).aspx,
Scottish Borders,Hawick Library,North Bridge Street,,Hawick,TD9 9QT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/hawick_library(1).aspx,
Scottish Borders,Innerleithen Library Contact Centre ,Buccleuch Street,,Innerleithen,EH44 6LA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/innerleithen_library_contact_centre(1).aspx,
Scottish Borders,Kelso Library Contact Centre ,Bowmont Street,,Kelso,TD5 7JH,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/kelso_library_contact_centre(1).aspx,
Scottish Borders,Melrose Library,18 Market Square,,Melrose,TD6 9PN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/melrose_library(1).aspx,
Scottish Borders,Peebles Library,Chambers Institute,,Peebles,EH45 8AG,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/peebles_library(1).aspx,
Scottish Borders,Scottish Borders Library Headquarters ,St Mary's Mill ,,Level Crossing Road,TD7 5EW,116017927,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/find_your_nearest_library/library_headquarters_and_local_studies.aspx,
Scottish Borders,Selkirk Library,Ettrick Terrace,,Selkirk,TD7 4LE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/selkirk_library(1).aspx,
