Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Sheffield,Broomhill,Taptonville Road,Sheffield,Yorkshire,S10 5BR,100052188315,Yes,CRL,,,10:30-18:30,10:00-14:00,10:00-17:30,00:00-00:00,10:00-17:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.broomhill-library.org.uk/,enquiries@broomhill-library.org.uk
Sheffield,Burngreave,"Sorby House, 42 Spital Hill",Sheffield,Yorkshire,S4 7LG,100052096709,Yes,CRL,,,10:00-17:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://soarcommunity.org.uk/about-us/burngreave-library/,burngreave.library@soarcommunity.org.uk
Sheffield,Chapeltown,Nether Ley Avenue,Sheffield,Yorkshire,S35 1AE,100052094065,No,LAL,,,12:30-18:30,10:00-17:30,00:00-00:00,10:00-17:30,10:00-14:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/chapeltownlibrary.html,chapeltown.library@sheffield.gov.uk
Sheffield,Crystal Peaks,1-3 Peak Square,Sheffield,Yorkshire,S20 7PH,200002991943,No,LAL,,,10:00-17:30,10:00-14:00,00:00-00:00,10:00-17:30,12:30-18:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/crystalpeakslibrary.html,crystalpeaks.library@sheffield.gov.uk
Sheffield,Darnall,Britannia Road,Sheffield,Yorkshire,S9 5JG,100052120911,No,LAL,,,12:30-18:30,10:00-17:30,10:00-14:00,00:00-00:00,10:00-17:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/darnalllibrary.html,darnall.library@sheffield.gov.uk
Sheffield,Ecclesall,"Weetwood Gardens, 120 Ecclesall Road",Sheffield,Yorkshire,S11 9PL,10013160136,No,LAL,,,10:00-17:30,00:00-00:00,10:00-14:00,10:00-17:30,12:30-18:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/ecclesalllibrary.html,ecclesall.library@sheffield.gov.uk
Sheffield,Ecclesfield,High Street,Sheffield,Yorkshire,S35 9UA,100052095317,Yes,CRL,,,13:00-18:00,00:00-00:00,10:00-17:30,00:00-00:00,10:00-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://volunteerlibrariesinsheffield.org/ecclesfield/,ecclesfieldlib@gmail.com
Sheffield,Firth Park,443 Firth Park Road,Sheffield,Yorkshire,S5 6QQ,100052098226,No,LAL,,,09:30-12:30,09:30-17:30,12:30-18:30,00:00-00:00,09:30-17:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/firthparklibrary.html,firthpark.library@sheffield.gov.uk
Sheffield,Frecheville,Smalldale Road,Sheffield,Yorkshire,S12 4YD,100052217648,Yes,CRL,,,10:00-17:30,00:00-00:00,00:00-00:00,09:30-13:00,09:30-18:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.frechevillelibraryandlearningcentre.co.uk/,frechevillelibrary@gmail.com
Sheffield,Gleadless,White Lane,Sheffield,Yorkshire,S12 3GH,100052085832,Yes,CRL,,,10:00-18:00,00:00-00:00,09:30-18:00,00:00-00:00,09:30-18:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,http://www.gleadlesslibrary.org/,Gleadless.library@gmail.com
