Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Sir Benfro,Crymych Library,Preseli School,Crymych,Pembrokeshire,SA41 3QF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/crymych-library,mailto:crymychlibrary@pembrokeshire.gov.uk
Sir Benfro,Fishguard Library,Town Hall,Market Square,Fishguard,SA65 9HA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/fishguard-library,mailto:fishguardlibrary@pembrokeshire.gov.uk
Sir Benfro,Haverfordwest Library,,,,SA61 2AN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/haverfordwest-library-and-information-centre,mailto:haverfordwestlendinglibrary@pembrokeshire.gov.uk
Sir Benfro,Milford Haven Library,Cedar Court,Haven's Head Business Park,Milford Haven,SA73 3JP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/milford-haven-library-and-information-centre,mailto:milfordhavenlibrary@pembrokeshire.gov.uk
Sir Benfro,Narberth Library,St James Street,Narberth,Pembrokeshire,SA67 7BU,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/narberth-community-library,mailto:narberthlibrary@pembrokeshire.gov.uk
Sir Benfro,Newport Community Library,Bank House,Bridge Street,Newport,SA42 0TB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/newport-community-library,mailto:newportlibrary@pembrokeshire.gov.uk
Sir Benfro,Neyland Library,St Clements Road,Neyland,Pembrokeshire,SA73 1SH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/neyland-library-and-customer-service-centre,mailto:neylandlibrary@pembrokeshire.gov.uk
Sir Benfro,Pembroke Dock Library,Water Street,Pembroke,Pembrokeshire,SA72 6DW,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.pembrokeshire.gov.uk/content.asp?nav=2%2C107%2C108,mailto:pembrokedocklibrary@pembrokeshire.gov.uk
Sir Benfro,Pembroke Library,38 Main Street,Pembroke,Pembrokeshire,SA71 4NP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/pembroke-library-and-information-centre,mailto:pembrokelibrary@pembrokeshire.gov.uk
Sir Benfro,Saundersfoot Library,Regency Hall,Saundersfoot,Pembrokeshire,SA69 9NG,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/saundersfoot-library-and-information-centre,mailto:saundersfootlibrary@pembrokeshire.gov.uk
Sir Benfro,St Davids Library,City Hall,High Street,St Davids,SA62 6SD,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/st-davids-library,mailto:stdavidslibrary@pembrokeshire.gov.uk
Sir Benfro,Tenby Library,Greenhill House,Tenby,Pembrokeshire,SA70 7LB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/tenby-library,mailto:tenbylibrary@pembrokeshire.gov.uk
