Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
South Ayrshire,Alloway Library,Doonholm Road,,Ayr,KA7 4QQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/alloway-library.aspx,
South Ayrshire,Ballantrae Library,The Hall,,Ballantrae,KA26 0NB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/ballantrae-library.aspx,
South Ayrshire,Carnegie Library,12 Main Street,,Ayr,KA8 8EB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/carnegie-library.aspx,
South Ayrshire,Forehill Library,31 Mount Oliphant Crescent,,Ayr,KA7 3EN,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/forehill-library.aspx,
South Ayrshire,Girvan Library,Montgomerie Street,,Girvan,KA26 9HE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/girvan-library.aspx,
South Ayrshire,John Rodie Library,39 Annbank Road,,Mossblown,KA6 5DZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/mossblown-library.aspx,
South Ayrshire,Maypole Library ,1 High Street,,Maybole  ,KA19 7AB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/maybole-library.aspx,
South Ayrshire,Mossblown Library,39 Annbank Road,,Ayr,KA6 5DZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.south-ayrshire.gov.uk/libraries/,
South Ayrshire,Prestwick Library,14 Kyle Street,,Prestwick,KA9 1PQ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/prestwick-library.aspx,
South Ayrshire,Symington Library,Brewlands Road,,Symington,KA1 5QZ,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/symington-library.aspx,
South Ayrshire,Tarbolton Library,Tarbolton Community Campus ,,Montgomerie Street,KA5 5QA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/tarbolton-library.aspx,
South Ayrshire,Troon Library,5 South Beach,,Troon,KA10 6EF,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.south-ayrshire.gov.uk/libraries/branches/troon-library.aspx,
