Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Southampton,Bitterne,Bitterne Road East,Soton,Hampshire,SO18 5EG,,Yes,LAL,,,10:00-19:00,10:00-16:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Burgess Road,Burgess Road,Soton,Hampshire,SO16 3HF,,No,CRL,,,10:00-19:00,00:00-00:00,12:00-19:00,00:00-00:00,10:00-17:00,11:30-14:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,ChristChurch Southampton,,http://burgessroadlibrary.org.uk/,libraries@southampton.gov.uk
Southampton,Cobbett Road,Cobbett Road,Soton,Hampshire,SO18 1HL,,No,CRL,,,10:00-19:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,previously called Cobbett Hub and Library,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Lordshill,Lordshill District Centre,Soton,Hampshire,SO16 8HY,,No,LAL,,,00:00-00:00,10:00-19:00,10:00-17:00,10:00-19:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Millbrook Community Library,"Pickles Coppice, Windermere Avenue",Soton,Hampshire,SO16 9QX,,Yes,CRL,,,10:00-16:00,14:00-16:00,10:00-12:00,13:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Childrens Centre,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Portswood,Portswood Road,Soton,Hampshire,SO17 2NG,,No,LAL,,,10:00-19:00,10:00-17:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Shirley,Shirley Precinct,Soton,Hampshire,SO15 5LL,,No,LAL,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-16:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Housing Office,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Southampton Central Library,Civic Centre,Soton,Hampshire,SO14 7LW,,No,LAL,,,10:00-19:00,10:00-19:00,10:00-18:00,10:00-19:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Thornhill Community Library,328 Hinkler Road,Soton,Hampshire,SO19 6DF,,Yes,CRL,,,14:00-16:30,09:30-12:00,14:00-16:30,00:00-00:00,09:30-12:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
Southampton,Weston,68 Weston Lane,Soton,Hampshire,SO19 9GH,,Yes,CRL,,,10:00-16:30,00:00-00:00,08:45-18:00,09:30-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://ymca-fg.org/image-gallery/virtual-tour-weston-library/,libraries@southampton.gov.uk
Southampton,Woolston,"Centenary Quay, Victoria Road",Soton,Hampshire,SO19 9EF,,No,LAL,,,10:00-17:00,10:00-19:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Housing Office,,http://www.southampton.gov.uk/libraries,libraries@southampton.gov.uk
