Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Stirling Council,Balfron Library,Buchanan Street,,Balfron ,G63 0TW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/64,
Stirling Council,Bannockburn Library,38 Quakerfield,,Bannockburn,FK7 8HS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/65,
Stirling Council,Bridge of Allan Library,Fountain Road,,Bridge of Allan,FK9 4AT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/66,
Stirling Council,Callander Library,South Church Street,,Callander,FK17 8BN,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/67,
Stirling Council,Cambusbarron Library,Community Centre,,St Ninians Road,FK7 9NU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/68,
Stirling Council,Cowie Library,Burns Terrace,,Cowie,FK7 7BS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/70,
Stirling Council,Doune Library,Main Street,,Doune,FK16 6BJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/71,
Stirling Council,Drymen Library,The Square,,Drymen,G63 0BL,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/72,
Stirling Council,Dunblane Library,The Institute,,High Street,FK15 0ER,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/73,
Stirling Council,Fallin Library,Stirling Road,,Fallin,FK7 7JE,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/74,
Stirling Council,Killin Library,Main Street,,Killin,FK21 8UW,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/75,
Stirling Council,Plean Library,Main Street,, Plean,FK7 8BT,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/77,
Stirling Council,Raploch Express Library,Raploch Community Campus,,Drip Road,FK8 1SD,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/78,
Stirling Council,Stirling Central Library,Corn Exchange Road,,Stirling,FK8 2HX,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/69,
Stirling Council,Strathblane Library,Kirkburn Road,,Strathblane,G63 9ED,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://my.stirling.gov.uk/facilities/view/80,
