Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Stockport,Adswood & Bridgehall,Siddington Avenue,Bridgehall,Greater Manchester,SK3 8NR,,No,LAL,2014,,09:00-17:00,09:00-17:00,09:00-13:00,09:00-17:00,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Bramhall,Bramhall Lane South,Bramhall,Greater Manchester,SK7 2DU,100012787409,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Bredbury,George Lane,Bredbury,Greater Manchester,SK6 1DJ,100012785090,No,LAL,,,09:30-17:00,09:30-17:00,09:30-19:00,00:00-00:00,09:30-18:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Brinnington,"First House, 367 Brinnington Road",Brinnington,Greater Manchester,SK5 8EN,10009671064,No,LAL,,,09:00-17:00,09:00-17:00,09:00-13:00,09:00-19:00,09:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Cheadle,Ashfield Road,Cheadle,Greater Manchester,SK8 1BB,100012785090,No,LAL,,,10:00-17:00,10:00-19:00,00:00-00:00,10:00-19:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Cheadle Hulme,Mellor Road,Cheadle Hulme,Greater Manchester,SK8 5AU,100012847750,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Dialstone Library,"Dialstone Centre, Lisburn Lane",Offerton,Greater Manchester,SK2 7LL,10000018026,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Stockport,Edgeley,Edgeley Road,Edgeley,Greater Manchester,SK3 9NB,100012848531,No,LAL,,,10:00-18:00,10:00-17:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Great Moor,Gladstone Street,Great Moor,Greater Manchester,SK2 7QF,100012779888,No,LAL,,,10:00-18:00,10:00-17:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Hazel Grove,Beech Avenue,Hazel Grove,Greater Manchester,SK7 4QP,100012787835,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Heald Green,Finney Lane,Heald Green,Greater Manchester,SK8 3JB,100012788958,No,LAL,,,10:00-17:00,10:00-19:00,00:00-00:00,10:00-18:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Heatons,Thornfield Road,Heaton Moor,Greater Manchester,SK4 3LD,100012782085,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Relocated to current site 1992,https://www.stockport.gov.uk/libraries,
Stockport,High Lane,Buxton Road,High Lane,Greater Manchester,SK6 8DX,100012787013,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Marple,Memorial Park,Marple,Greater Manchester,SK6 6BA,200000781479,No,LAL,,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Offerton,Mallowdale Road,Stockport,Greater Manchester,SK2 5NX,10094503131,No,LAL,2012,,10:00-17:00,14:00-17:00,00:00-00:00,14:00-19:00,10:00-13:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Opened at Dialstone Librarry circa late 1980's - rfelocated 2012,https://www.stockport.gov.uk/libraries,
Stockport,Reddish,Gorton Road,Reddish,Greater Manchester,SK5 6UG,100012848655,No,LAL,,,10:00-19:00,10:00-17:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
Stockport,Stockport Central,Wellington Road South,Stockport,Greater Manchester,SK1 3RS,100012769770,No,LAL,,,10:00-19:00,10:00-19:00,09:00-17:00,09:00-17:00,09:00-19:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.stockport.gov.uk/libraries,
