Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Sunderland,Bunny Hill,Hylton Lane,Sunderland,Tyne and Wear,SR5 4BW,,No,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,City,Burdon Road,Sunderland,Tyne and Wear,SR1 1PP,45093586,No,LAL,,,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Doxford Park,,,,SR3 2ND,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Easington Lane,,,,DH5 0JW,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,East Herrington,,,,SR3 3PF,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Fence Houses,,,,DH4 6HL,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Fulwell,Dene Lane,Sunderland,Tyne and Wear,SR6 8EH,,No,ICL,,,10:00-16:00,00:00-00:00,10:00-17:00,00:00-00:00,10:00-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Community service with a library offer,,
Sunderland,Hendon,,,,SR2 8JG,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Hetton Centre,Welfare Road,Hetton,Tyne and Wear,DH5 9NE,,No,ICL,,,09:00-15:15,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Community service with a library offer,,
Sunderland,Houghton,74 Newbottle Street,Houghton-le-Spring,Tyne and Wear,DH4 4AF,,No,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Kayll Road,Kayll Road,Sunderland,Tyne and Wear,SR4 7TW,,No,ICL,,,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Community service with a library offer,,
Sunderland,Monkwearmouth,,,,SR6 0DR,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Ryhope,Black Road,Sunderland,Tyne and Wear,SR2 0RX,,No,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Sandhill,Grindon Lane,Sunderland,Tyne and Wear,SR3 4EN,,No,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Shiney Row,Chester Road,Shiney Row,Tyne and Wear,DH4 4RB,,No,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Silksworth,,,,SR3 1HN,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Southwick,,,,SR5 2JR,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Washington Green,,,,NE38 7AB,,No,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Washington Millennium,"Washington Millennium Centre, The Oval",Washington,Tyne and Wear,NE37 2QD,,No,ICL,,,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-16:30,09:00-16:30,09:00-16:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Sunderland,Washington Town Centre,Independence Square,Washington,Tyne and Wear,NE38 7RZ,45085799,No,LAL,,,09:30-17:00,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
