Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Tameside,Ashton Library,"Tameside One, Market Place",Ashton,Greater Manchester,OL6 6BH,,Yes,LAL,2019,,08:30-17:00,08:30-20:00,08:30-17:00,08:30-20:00,08:30-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,"Other Council Services, DWP, CAB","Tameside Central Library was relocated into the new Council headqaurters building in Mar 2019, and was renamed Ashton Library",http://www.tameside.gov.uk/libraries,information.direct@tameside.gov.uk
Tameside,Denton,"Town Hall, Market Street",Denton,Greater Manchester,M34 2AP,,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Town Hall & MP,,http://www.tameside.gov.uk/libraries,denton.library@tameside.gov.uk
Tameside,Denton West End,Windsor Road,Denton,Greater Manchester,M34 2HB,,Yes,ICL,,,00:00-00:00,00:00-00:00,13:00-16:00,13:00-16:00,13:00-16:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Tameside,Droylsden,Manchester Road,Droylsden,Greater Manchester,M43 6EP,,Yes,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.tameside.gov.uk/libraries,droylsden.library@tameside.gov.uk
Tameside,Dukinfield,Concord Way,Dukinfield,Greater Manchester,SK16 4DB,,No,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,http://www.tameside.gov.uk/libraries,dukinfield.library@tameside.gov.uk
Tameside,Hattersley,Hattersley Road East,Hattersley,Greater Manchester,SK14 3EQ,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Moved to Hat Hub,,
Tameside,Hattersley,"The Hub, Stockport Road",Hattersley,Greater Manchester,SK14 6NT,,No,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Various,,http://www.tameside.gov.uk/libraries,hattersley.library@tameside.gov.uk
Tameside,Haughton Green,,,,M34 7NP,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Tameside,Hurst,,,,OL6 9HN,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Tameside,Hyde,"Town Hall, Greenfield Street",Hyde,Greater Manchester,SK14 1AL,100012775220,No,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Hyde Town Hall,,http://www.tameside.gov.uk/libraries,hyde.library@tameside.gov.uk
Tameside,Mossley,"George Lawton Hall, Stamford Street",Mossley,Greater Manchester,OL5 0HR,,No,LAL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,Yes,Community Building,,http://www.tameside.gov.uk/libraries,mossley.library@tameside.gov.uk
Tameside,Mossley,Wyre Street,Mossley,Greater Manchester,OL5 0EU,,No,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Moved to George Lawton Hall,,
