Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Trafford,Altrincham,2 Pott Street,Altrincham,Greater Manchester,WA14 1AH,10070460471,Yes,LAL,,,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Health Hub,,https://www.thurrock.gov.uk/libraries,libraries@trafford.gov.uk
Trafford,Bowfell,"Urmston Leisure Centre, Bowfell Road",Urmston,Greater Manchester,M41 5RR,,Yes,LAL,,2015,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Trafford,Coppice,Coppice Avenue,Sale,Greater Manchester,M33 4ND,10070446007,Yes,CRL,,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Wellbeing Centre,Previously called Coppice Avenue Library,https://www.trafford.gov.uk/libraries,libraries@trafford.gov.uk
Trafford,Davyhulme,Hayeswater Road,Davyhulme,Greater Manchester,M41 7BL,,Yes,LAL,,2015,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Trafford,Greatstone,Greatstone Road,Stretford,Greater Manchester,M32 0ZS,,Yes,LAL,,2013,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,,,
Trafford,Hale,Leigh Road,Hale,Greater Manchester,WA15 9BG,100012801207,Yes,LAL,,,10:00-17:00,10:00-19:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,No,,"Will be relocating to facilitate a new build, likely move out is late 2020",https://www.trafford.gov.uk/libraries,libraries@trafford.gov.uk
Trafford,Lostock,Selby Road,Lostock,Greater Manchester,M32 9PL,10070453731,Yes,CRL,,,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,14:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,School,Staffed by the school in term time,https://www.trafford.gov.uk/libraries,
Trafford,Old Trafford,"Limelight, 1 St.Brides Way",Old Trafford,Greater Manchester,M16 9NW,10070463400,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Housing Trust Extra Care Facility,,https://www.trafford.gov.uk/libraries,libraries@trafford.gov.uk
Trafford,Partington,91 Central Road,Partington,Greater Manchester,M31 4FY,100012699158,Yes,LAL,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Health Centre,,https://www.trafford.gov.uk/libraries,libraries@trafford.gov.uk
Trafford,Sale,Sale Waterside,Sale,Greater Manchester,M33 7ZF,100012702157,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-17:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,Yes,Council Building,,https://www.trafford.gov.uk/libraries,libraries@trafford.gov.uk
