Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Walsall,Aldridge District Library,Rookery Lane,Aldridge,West Midlands,WS9 8NP,,Yes,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,aldridgelibrary@walsall.gov.uk
Walsall,Beechdale Library,"Community Centre, Stephenson Square",Walsall,West Midlands,WS2 7DX,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Blakenall Library,"Blakenall Village Centre, Thames Road",Bloxwich,West Midlands,WS3 1LZ,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Bloxwich District Library,Elmore Row,Bloxwich,West Midlands,WS3 2HR,,Yes,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,bloxwichlibrary@walsall.gov.uk
Walsall,Brownhills District Library,"Park View Centre, Chester Road North",Brownhills,West Midlands,WS8 7JB,,No,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,brownhillslibrary@walsall.gov.uk
Walsall,Darlaston District Library,King Street,Darlaston,West Midlands,WS10 8DE,,No,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,darlastonlibrary@walsall.gov.uk
Walsall,Lichfield Street Hub,Lichfield Street,Walsall,West Midlands,WS1 1TR,,No,LAL,,,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-17:00,13:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,Previously called walsall central,,lshlibrary@walsall.gov.uk
Walsall,New Invention Library,"The Square, Lichfield Road",Willenhall,West Midlands,WV12 5EA,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Pelsall Library,"Pelsall Village Centre, High Street",Pelsall,West Midlands,WS3 4LX,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Pheasey Library,"Collingwood Centre, Collingwood Drive",Great Barr,West Midlands,B43 7NE,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Pleck Library,Darlaston Road,Walsall,West Midlands,WS2 9RE,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Rushall Library,Pelsall Lane,Rushall,West Midlands,WS4 1NL,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,South Walsall Library,West Bromwich Road,Walsall,West Midlands,WS5 4NW,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Streetly Community Library,Blackwood Road,Streetly,West Midlands,B74 3PL,,No,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,00:00-00:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,streetlylibrary@walsall.gov.uk
Walsall,Walsall Wood Library,Coppice Road,Walsall Wood,West Midlands,WS9 9BL,,Yes,LAL,,2017,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Walsall,Willenhall District Library,Walsall Street,Willenhall,West Midlands,WV13 2EX,,No,LAL,,,00:00-00:00,08:30-18:00,08:30-18:00,08:30-18:00,08:30-18:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,willenhalllibrary@walsall.gov.uk
