Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Warwickshire,Alcester Library & One-Stop-Shop,"Globe House, Priory Road",Alcester,Warwickshire,B49 5DZ,,No,LAL,,,09:30-17:30,00:00-00:00,09:30-17:30,09:30-17:30,09:30-17:30,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Heritage Centre,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Atherstone Library & Information Centre,Long Street,Atherstone,Warwickshire,CV9 1AX,,No,LAL,,,09:30-16:00,09:30-17:00,09:30-17:00,09:30-13:00,09:30-16:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Baddesley Community Library,"Village Hall, Keys Hill",Baddesley Ensor,Warwickshire,CV9 2DF,,No,CRL,,,10:00-17:00,09:30-17:00,10:00-17:00,10:00-15:00,09:15-14:15,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,baddesleylibrary@yahoo.com
Warwickshire,Bedworth Heath,,,,,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Warwickshire,Bedworth Library & Information Centre,18 High Street,Bedworth,Warwickshire,CV12 8NF,,No,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,00:00-00:00,09:30-17:00,09:30-14:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Bidford Community Library,Bramley Way,Bidford-on-Avon,Warwickshire,B50 4QG,,No,CRL,,,10:00-16:30,10:00-16:30,00:00-00:00,00:00-00:00,10:00-18:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,info@bidfordlibrary.co.uk
Warwickshire,Binley Woods,,,,,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Warwickshire,Bulkington Community Library,School Road,Nuneaton,Warwickshire,CV12 9JB,,No,CRL,,,09:00-12:00,09:00-17:00,00:00-00:00,09:00-17:00,09:00-17:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,bulkingtoncommunitylibrary@btconnect.com
Warwickshire,Camp Hill Library,"New Community Centre, Cedar Road",Nuneaton,Warwickshire,CV10 9EB,,No,CRL,,,14:00-16:00,00:00-00:00,15:00-18:00,00:00-00:00,14:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,"Education, Sports & Social Centre",,https://www.warwickshire.gov.uk/libraries,camphillcommunitylibrary@gmail.com
Warwickshire,Coleshill Library & One-Stop-Shop,19a Parkfield Road,Birmingham,West Midlands,B46 3LD,,No,LAL,,,09:30-12:30,09:30-17:30,09:30-12:30,09:30-17:30,09:30-12:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Dordon Community Library,Roman Way,Tamworth,Warwickshire,B78 1RD,,No,CRL,,,09:00-11:00,00:00-00:00,12:00-14:00,10:00-14:00,00:00-00:00,11:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,readersofromanway@gmx.co.uk
Warwickshire,Dunchurch Community Library,The Green,Rugby,Warwickshire,CV22 6PA,,No,CRL,,,00:00-00:00,10:00-18:30,00:00-00:00,10:00-17:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,dunchurchlibrary@btconnect.com
Warwickshire,Harbury Community Library,High Street,Leamington Spa,Warwickshire,CV33 9HW,,No,CRL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,library@harburyvillagelibrary.org.uk
Warwickshire,Hartshill Community Library,"Holy Trinity Church, Church Road",Hartshill,Warwickshire,CV10 0LY,,No,CRL,,,00:00-00:00,10:00-14:00,14:00-16:00,14:00-16:00,10:00-12:00,10:00-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,hartshillcommunitylibrary@gmail.com
Warwickshire,Henley Community Library,115 High Street,Henley-in-Arden,Warwickshire,B95 5AU,,No,CRL,,,00:00-00:00,09:00-17:00,09:00-13:00,00:00-00:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,henley.community.library@gmail.com
Warwickshire,Kenilworth Library & One-Stop-Shop,Smalley Place,Kenilworth,Warwickshire,CV8 1QG,,No,LAL,,,09:00-17:30,09:00-17:30,10:30-17:30,09:00-17:30,09:00-17:30,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Keresley Community Library,Bennetts Road,Coventry,West Midlands,CV7 8HX,,No,CRL,,,14:00-17:00,14:00-17:00,00:00-00:00,14:00-17:00,14:00-17:00,12:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,keresleylibrary@gmail.com
Warwickshire,Kineton Community Library,"Kineton Village Hall, Mill Street",Kineton,Warwickshire,CV35 0LB,,No,CRL,,,14:00-17:00,00:00-00:00,14:00-17:00,00:00-00:00,00:00-00:00,09:30-12:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,kineton-parish-council@btconnect.com
Warwickshire,Kingsbury,,,,,,No,LAL,,2012,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Warwickshire,Leamington Spa Library & Information Centre,"Royal Pump Rooms, Parade",Leamington Spa,Warwickshire,CV32 4AA,,No,LAL,,,09:30-18:00,09:30-18:00,09:30-18:00,10:00-19:00,09:30-18:00,09:30-16:30,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Lillington Library & One-Stop-Shop,Valley Road,Leamington,Warwickshire,CV32 7SJ,,No,LAL,,,09:30-18:00,09:30-17:30,00:00-00:00,09:30-18:00,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Nuneaton Library & Information Centre,Church Street,Nuneaton,Warwickshire,CV11 4DR,100071495631,No,LAL,,,10:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:00,09:00-16:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Polesworth Library & Information Centre,Bridge Street,Tamworth,Warwickshire,B78 1DT,,No,LAL,,,00:00-00:00,09:30-19:00,00:00-00:00,09:30-18:00,09:30-18:00,09:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Rugby Library & Information Centre,Little Elborow Street,Rugby,Warwickshire,CV21 3BZ,,No,LAL,,,09:00-17:30,10:00-19:00,09:00-17:30,09:00-17:30,09:00-17:30,09:00-16:00,12:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Shipston on Stour Library & One Stop Shop,12 Church Street,Shipston-on-Stour,Warwickshire,CV36 4AP,,No,LAL,,,09:30-12:30,09:30-17:30,00:00-00:00,09:30-17:30,00:00-00:00,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Southam Library & One-Stop-Shop,"Tithe Place, High Street",Southam,Warwickshire,CV47 0HB,,No,LAL,,,09:30-17:30,09:30-17:30,00:00-00:00,09:30-17:30,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Stockingford Library & Information Centre,St. Paul's Road,Nuneaton,Warwickshire,CV10 8HW,,No,LAL,,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Stratford-upon-Avon Library & Information Centre,Henley Street,Stratford-upon-Avon,Warwickshire,CV37 6PZ,10092012955,No,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,Registration Services,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Studley Community Library,"Studley Village Hall, High Street",Studley,Warwickshire,B80 7HJ,,No,CRL,,,00:00-00:00,10:00-16:00,00:00-00:00,10:00-16:00,09:30-12:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,studley_library@hotmail.co.uk
Warwickshire,Warwick Library & Information Centre,"Shire Hall, Market Place",Warwick,Warwickshire,CV34 4RL,100071510174,No,LAL,,,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:30,08:00-17:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Water Orton Community Library,"Mickle Meadow, Coleshill Road",Birmingham,West Midlands,B46 1SN,,No,CRL,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,09:00-17:00,09:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,waterortonlibrary@gmail.com
Warwickshire,Wellesbourne Library & Information Centre,Kineton Road,Warwick,Warwickshire,CV35 9NF,,No,LAL,,,09:30-12:30,00:00-00:00,09:30-17:30,00:00-00:00,09:30-17:30,09:30-12:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Whitnash Library & One-Stop-Shop,Franklin Road,Leamington Spa,Warwickshire,CV31 2JH,,No,LAL,,,10:30-17:00,10:30-17:00,13:30-17:00,00:00-00:00,10:30-16:00,10:00-13:30,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
Warwickshire,Wolston Library & Information Centre,Warwick Road,Coventry,West Midlands,CV8 3GX,,No,LAL,,,14:30-17:00,14:30-17:00,14:30-17:00,10:30-13:00,10:30-13:00,10:30-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.warwickshire.gov.uk/libraries,libraryenquiryteam@warwickshire.gov.uk
