Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
West Lothian,Almondbank Library,Almondbank Centre,,Shiel Walk,EH54 5EH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2096/Almondbank-Library-Craigshill,
West Lothian,Armadale Library,North Street ,,Armadale,EH48 3QB,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2215/Armadale-Library,
West Lothian,Bathgate (Simpson) Library ,Bathgate Partnership Centre,,South Bridge Street,EH48 1TS,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2228/Simpson-Library-Bathgate,
West Lothian,Blackburn Connected,Mill Centre,,Blackburn,EH47 7LQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2229/Blackburn-Connected,
West Lothian,Blackridge Library,Craig Inn Centre,,Blackridge,EH48 3SP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2230/Blackridge-Library,
West Lothian,Broxburn Library,Strathbrock Partnership Centre,, 189a West Main Street,EH52 5LH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2234/Broxburn-Library,
West Lothian,Carmondean Connected,Carmondean Centre ,,Deans,EH54 8PT,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2237/Carmondean-Connected-Deans,
West Lothian,East Calder Library,Main Street,,East Calder,EH53 0EJ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2238/East-Calder-Library,
West Lothian,Fauldhouse Library,Fauldhouse Partnership Centre ,,Lanrigg Road ,EH47 9JD,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2240/Fauldhouse-Library,
West Lothian,Lanthorn Library,Lanthorn Community Centre,,Kenilworth Rise ,EH54 6NY,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2242/Lanthorn-Library-Dedridge,
West Lothian,Linlithgow Library,Linlithgow Partnership Centre,,High Street,EH49 7EZ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2246/Linlithgow-Library,
West Lothian,Local History Library,Linlithgow Partnership Centre,,Linlithgow,EH49 7EQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2055/Local-History-Library,
West Lothian,Pumpherston Library,Pumpherston and Uphall Station Community Primary School ,,Drumshoreland Road ,EH53 0LF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2247/Pumpherston-Library,
West Lothian,West Calder Library,Main Street,,West Calder ,EH55 8BQ,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2254/West-Calder-Library,
West Lothian,West Lothian College Library,Almondvale Crescent ,,Livingston ,EH54 7EP,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2866/West-Lothian-College-Library,
West Lothian,Whitburn Library,Union Road,,Whitburn,EH47 0AR,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,https://www.westlothian.gov.uk/article/2261/Whitburn-Library,
