Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Windsor and Maidenhead,Ascot Durning,High Street,Ascot,Berkshire,SL5 7JF,,No,LAL,,,10:00-19:00,10:00-17:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-13:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/856/ascot_durning_library,
Windsor and Maidenhead,Boyn Grove Community Resource Centre,11 Courthouse Road,Maidenhead,Berkshire,SL6 6JE,,No,LAL,,,14:00-17:00,14:00-17:00,14:00-17:00,10:00-19:00,14:00-17:00,10:00-16:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/857/boyn_grove_library,
Windsor and Maidenhead,Cookham,High Road,Cookham Rise,Berkshire,SL6 9JF,,No,LAL,,,14:00-19:00,14:00-17:00,14:00-17:00,10:00-17:00,14:00-17:00,10:00-13:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/858/cookham_library,
Windsor and Maidenhead,Cox Green,49 Highfield Lane,Maidenhead,Berkshire,SL6 3AX,,No,LAL,,,00:00-00:00,13:30-17:00,10:00-19:00,10:00-17:00,13:30-17:00,10:00-13:30,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/859/cox_green_library,
Windsor and Maidenhead,Datchet,"Montagu House, 8 Horton Road",Datchet,Berkshire,SL3 9ER,,No,LAL,,,00:00-00:00,14:00-19:00,10:00-17:00,10:00-13:00,10:00-17:00,10:00-13:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/860/datchet_library,
Windsor and Maidenhead,Dedworth,"Dedworth School, Smith's Lane",Windsor,Berkshire,SL4 5PE,,No,LAL,,,14:00-19:00,14:00-17:00,14:00-17:00,08:45-17:00,08:45-17:00,10:00-16:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/861/dedworth_library,
Windsor and Maidenhead,Eton,136 High Street,Eton,Berkshire,SL4 6AR,,No,LAL,,,14:00-17:00,10:00-17:00,00:00-00:00,00:00-00:00,14:00-19:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/862/eton_library,
Windsor and Maidenhead,Eton Wick,Village Hall,Eton Wick,Berkshire,SL4 6LT,,No,LAL,,,00:00-00:00,14:00-17:00,10:00-19:00,10:00-17:00,10:00-13:00,10:00-13:00,11:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/863/eton_wick_library,
Windsor and Maidenhead,Furze Platt Container,Shifford Crescent Shops,Maidenhead,Berkshire,SL6 7UA,,No,LAL,,,00:00-00:00,10:00-17:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/864/furze_platt_container,
Windsor and Maidenhead,Holyport Container,Stroud Farm Road,Holyport,Berkshire,SL6 2LP,,No,LAL,,,00:00-00:00,00:00-00:00,00:00-00:00,10:00-19:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www3.rbwm.gov.uk/directory_record/865/holyport_container,
