Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Wolverhampton,Ashmore Park Library,Grigffiths Drive,Wolverhampton,West Midlands,WV11 2JW,,No,LAL,,2014,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Wolverhampton,Ashmore Park Library,"The Hub at Ashmore Park, Griffiths Drive",Wolverhampton,West Midlands,WV11 2LH,100071558114,No,LAL,2014,,09:00-17:00,09:00-17:00,10:00-13:00,09:00-13:00,10:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Bilston Library,Mount Pleasant,Wolverhmapton,West Midlands,WV14 7LU,100071560116,No,LAL,,,00:00-00:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-15:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Blakenhall Library,"Bob Jones Community Hub, Bromley Street",Wolverhsmpton,West Midlands,WV2 3AS,10090013682,No,LAL,,,09:00-17:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-17:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Collingwood Library,Broadway Gardens,Wolverhampton,West Midlands,WV10 8EA,100071405518,No,LAL,,,00:00-00:00,10:00-13:00,14:00-17:00,09:00-11:00,13:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,East Park Library,Hurstbourne Crescent,Wolverhampton,West Midlands,WV1 2EE,200001906486,No,LAL,,,09:00-13:00,09:00-13:00,00:00-00:00,14:00-17:00,00:00-00:00,09:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Finchfield Library,White Oak Drive,Wolverhampton,West Midlands,WV3 9AF,200001527725,No,LAL,,,10:00-17:00,10:00-19:00,10:00-13:00,10:00-19:00,00:00-00:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Long Knowle Library,"Long Knowle Community Hub, Wood End Road",Wolverhampton,West Midlands,WV11 1YG,100071558009,No,LAL,,,10:00-14:00,13:00-17:00,12:30-15:30,00:00-00:00,13:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Low Hill Library,Showell Circus,Wolverhampton,West Midlands,WV10 9JJ,10007119838,No,LAL,,,00:00-00:00,14:00-17:00,00:00-00:00,10:00-17:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Pendeford Library,"Pendeford Community hub, Whitburn Close",Wolverhampton,West Midlands,WV9 5NJ,100071566880,No,LAL,,,10:00-13:00,10:00-18:00,13:00-17:00,10:00-13:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Penn Library,Coalway Road,Wolverhampton,West Midlands,WV3 7LT,100071563983,No,LAL,,,00:00-00:00,09:00-17:00,00:00-00:00,10:00-18:00,09:00-13:00,09:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Spring Vale Library,Bevan Avenue,Wolverhampton,West Midlands,WV4 6SG,100071565240,No,LAL,,,00:00-00:00,10:00-13:00,14:00-18:00,00:00-00:00,10:00-13:00,09:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Tettenhall Library,"St. Michael's Parish Centre, Upper Street",Wolverhampton,West Midlands,WV6 8QF,100071566348,No,LAL,,,10:00-19:00,00:00-00:00,10:00-17:00,10:00-17:00,10:00-16:00,10:00-16:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Warstones Library,Pinfold Grove,Wolverhampton,West Midlands,WV4 4PT,100071564707,No,LAL,,,10:00-19:00,14:00-17:00,10:00-17:00,13:00-17:00,10:00-17:00,09:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Wednesfield Library,Church Stree,Wolverhampton,West Midlands,WV11 1SR,,No,LAL,2014,2010,,,,,,,,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,,
Wolverhampton,Wednesfield Library,"Wednesfield Community Hub, 2 Well Lane",Wolverhampton,West Midlands,WV11 1XT,10090013615,No,LAL,,,12:00-19:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Whitmore Reans Library,Bargate Drive,Wolverhampton.,West Midlands,WV6 0QW,100071565927,No,LAL,,,14:00-17:00,10:00-13:00,14:00-17:00,00:00-00:00,14:00-17:00,10:00-13:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
Wolverhampton,Wolverhampton Central Library,Snow Hill,Wolverhampton,West Midlands,WV1 3AX,100071555374,No,LAL,,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-17:00,10:00-14:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,,No,,,https://www.wolverhampton.gov.uk/libraries,libraries@wolverhampton.gov.uk
