Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Co-located,Co-located with,Notes,URL,Email address
Ynys Môn,Amlwch Library,Ffordd Parys,Amlwch,Anglesey,LL68 9EA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/amlwch-library/,mailto:kbxlh@anglesey.gov.uk
Ynys Môn,Beaumaris Library,Hen Ysgol David Hughes,Beaumaris,Anglesey,LL58 8AL,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/beaumaris-library/,mailto:ddxlh@anglesey.gov.uk
Ynys Môn,Benllech Library,Ffordd Bangor,Benllech,Anglesey,LL74 8TF,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/benllech-library/,mailto:dcxlh@anglesey.gov.uk
Ynys Môn,Cemaes Library,Lôn Glascoed,Cemaes,Anglesey,LL67 0HN,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/cemaes-library/,mailto:kcxlh@anglesey.gov.uk
Ynys Môn,Holyhead Library,,,,LL65 1HH,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/holyhead-library/,mailto:kpxlh@anglesey.gov.uk
Ynys Môn,Llangefni Library,Lôn-y-Felin,Llangefni,Anglesey,LL77 7RT,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/llangefni-library/,mailto:libraries@ynysmon.gov.uk
Ynys Môn,Menai Bridge Library,Ffordd y Ffair,Porthaethwy,Anglesey,LL59 5AS,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/menai-bridge-library/,mailto:dbxlh@anglesey.gov.uk
Ynys Môn,Moelfre Library,Y Ganolfan,Moelfre,Anglesey,LL72 8HA,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/moelfre-library/,mailto:dfxlh@anglesey.gov.uk
Ynys Môn,Newborough Library,Prichard Jones Institute,Newborough,Anglesey,LL61 6SY,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/newborough-library/,mailto:dexlh@anglesey.gov.uk
Ynys Môn,Rhosneigr Library,High Street,Rhosneigr,Anglesey,LL64 5UX,,Yes,LAL,,,,,,,,,,,,,,,,,No,,,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/rhosneigr-library/,mailto:kdxlh@anglesey.gov.uk
