Library name,Address 1,Address 2,Address 3,Postcode,URL
Antrim,10 Railway Street,Antrim,Antrim,BT41 4AE,https://www.librariesni.org.uk/Libraries/Pages/Antrim-Library.aspx
Ardoyne,446 - 450 Crumlin Road,Belfast,Antrim,BT14 7GH,https://www.librariesni.org.uk/Libraries/Pages/Ardoyne-Library.aspx
Armagh City,2 Market Street,Armagh,Armagh,BT61 7BU,https://www.librariesni.org.uk/Libraries/Pages/Armagh-City-Library.aspx
Ballycastle,5 Leyland Road,Ballycastle,Antrim,BT54 6DT,https://www.librariesni.org.uk/Libraries/Pages/Ballycastle-Library.aspx
Ballyclare,School Street,Ballyclare,Antrim,BT39 9BE,https://www.librariesni.org.uk/Libraries/Pages/Ballyclare-Library.aspx
Ballyhackamore,1-3 Eastleigh Drive,Belfast,Down,BT4 3DX,https://www.librariesni.org.uk/Libraries/Pages/Ballyhackamore-Library.aspx
Ballymena Central,5 Pat's Brae,Ballymena,Antrim,BT43 5AX,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Central-Library.aspx
Ballymoney,Rodden Foot,"Queen Street, Ballymoney",Antrim,BT53 6JB,https://www.librariesni.org.uk/Libraries/Pages/Ballymoney-Library.aspx
Ballynahinch,Main Street,Ballynahinch,Down,BT24 8DN,https://www.librariesni.org.uk/Libraries/Pages/Ballynahinch-Library.aspx
Banbridge,23 Scarva Road,Banbridge,Down,BT32 3AD,https://www.librariesni.org.uk/Libraries/Pages/Banbridge-Library.aspx
Bangor Carnegie,Hamilton Road,Bangor,Down,BT20 4LH,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Carnegie-Library.aspx
Belfast Central,Royal Avenue,Belfast,Antrim,BT1 1EA,https://www.librariesni.org.uk/Libraries/Pages/Belfast-Central-Library.aspx
Bessbrook,22 Church Road,Bessbrook,Armagh,BT35 7AQ,https://www.librariesni.org.uk/Libraries/Pages/Bessbrook-Library.aspx
Broughshane,Main Street,Broughshane,Antrim,BT42 4JW,https://www.librariesni.org.uk/Libraries/Pages/Broughshane-Library.aspx
Brownlow,3 Brownlow Road,Craigavon,Armagh,BT65 5DL,https://www.librariesni.org.uk/Libraries/Pages/Brownlow-Library.aspx
Carnlough,Town Hall,Carnlough,Antrim,BT44 0EU,https://www.librariesni.org.uk/Libraries/Pages/Carnlough-Library.aspx
Carrickfergus,2 Joymount Court,Carrickfergus,Antrim,BT38 7DQ,https://www.librariesni.org.uk/Libraries/Pages/Carrickfergus-Library.aspx
Carryduff,Church Road,Carryduff,Down,BT8 8DT,https://www.librariesni.org.uk/Libraries/Pages/Carryduff-Library.aspx
Castlederg,1A Hospital Road,Castlederg,Tyrone,BT81 7BU,https://www.librariesni.org.uk/Libraries/Pages/Castlederg-Library.aspx
