Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Aberdeen City Council,Aberdeen Central Library,Rosemount Viaduct,,Aberdeen,AB25 1GW,9051066329,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,CentralLibrary@aberdeencity.gov.uk
Aberdeen City Council,Airyhall Library,Springfield Road,Airyhall,Aberdeen,AB15 7RF,9051031064,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-19:00,09:00-17:00,09:00-17:00,"10:00-13:00,14:00-17:00",,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,AiryhallLibrary@aberdeencity.gov.uk
Aberdeen City Council,Bridge of Don Library,"Scotstown Road ",Bridge of Don,Aberdeen,AB22 8HH,9051102266,Yes,LAL,,,10:00-19:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,"10:00-13:00,14:00-17:00",,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,BridgeOfDonLibrary@aberdeencity.gov.uk
Aberdeen City Council,Bucksburn Community Library,Kepplehills Road,Bucksburn,Aberdeen,AB21 9DG,9051130993,Yes,LAL,,,10:00-19:00,10:00-17:00,,10:00-17:00,,"10:00-13:00,14:00-17:00",,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,BucksburnLibrary@aberdeencity.gov.uk
Aberdeen City Council,Cornhill Library,Cornhill Shopping Arcade,"Cornhill Drive ",Aberdeen,AB16 5UT,9051035396,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
Aberdeen City Council,Cove Library,Loirston Avenue,Cove,Aberdeen,AB12 3HE,9051312042,Yes,LAL,,,13:00-19:00,"10:00-13:00,14:00-17:00",,,"10:00-13:00,14:00-17:00",10:00-13:00,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,CoveLibrary@aberdeencity.gov.uk
Aberdeen City Council,Culter Library,189 North Deeside Road,Peterculter,Aberdeen,AB14 0UJ,9051000819,Yes,LAL,,,,,"10:00-13:00,14:00-17:00","10:00-13:00,14:00-17:00",,10:00-13:00,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,CulterLibrary@aberdeencity.gov.uk
Aberdeen City Council,Cults Library,429 North Deeside Road,Cults,Aberdeen,AB15 9SX,9051007902,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
Aberdeen City Council,Dyce Library,Dyce Community Centre,Gordon Terrace,"Aberdeen ",AB21 7BD,9051311586,Yes,LAL,,,10:00-17:00,,10:00-17:00,,10:00-17:00,,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,DyceLibrary@aberdeencity.gov.uk
Aberdeen City Council,Ferryhill Library,Fonthill Road,,Aberdeen,AB11 6UP,9051063511,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
Aberdeen City Council,Kaimhill Library,Pitmedden Terrace,,Aberdeen,AB10 7HR,9051311760,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
Aberdeen City Council,Kincorth Library,Provost Watt Drive,Kincorth,Aberdeen,AB12 5NA,9051057554,Yes,LAL,,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,KincorthLibrary@aberdeencity.gov.uk
Aberdeen City Council,Mastrick Library,"Greenfern Road ",Mastrick,"Aberdeen ",AB16 6TR,9051024525,Yes,LAL,,,10:00-19:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,MastrickLibrary@aberdeencity.gov.uk
Aberdeen City Council,Northfield Library,Byron Square,,Aberdeen,AB16 7LL,9051026846,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
Aberdeen City Council,Tillydrone Library,Tillydrone Community Campus,Hayton Road,Aberdeen,AB24 2UY,9051151823,Yes,LAL,,,10:00-19:00,10:00-17:00,10:00-19:00,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,TillydroneLibrary@aberdeencity.gov.uk
Aberdeen City Council,Torry Library,Victoria Road,Torry,Aberdeen,AB11 9NJ,9051081045,Yes,LAL,,,"10:00-13:00,14:00-17:00",,13:00-19:00,"10:00-13:00,14:00-17:00",,,,,,,,,,,,No,,,https://www.aberdeencity.gov.uk/services/libraries-and-archives/find-your-local-library,TorryLibrary@aberdeencity.gov.uk
Aberdeen City Council,Woodside Library,Clifton Road,,Aberdeen,AB24 4DX,9051053091,Yes,LAL,,2023,,,,,,,,,,,,,,,,No,,,,
