Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Barnsley Metropolitan Borough Council,Barnsley Central Library,"Wellington House, 36 Wellington Street",Barnsley,South Yorkshire,S70 1WA,2007016685,No,LAL,,2019,,,,,,,,,,,,,,,,No,,Temporary location from 2014 - 2019.  Replaced by new build Library @ The Ligthbox,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Central,Shambles Street,Barnsley,South Yorkshire,S70 2JF,2007022988,No,LAL,,2014,,,,,,,,,,,,,,,,No,,Library relocated to Barnsley Central Library at Wellington House,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Cudworth,"Cudworth Centre of Excellence, Roberts Street",Barnsley,South Yorkshire,S72 8UQ,2007005463,Yes,LAL,,,09:00-19:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:30-12:00,,,,,,,,,,Yes,Adult Skills & Community Learning,,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Darfield,Church Street,Barnsley,South Yorkshire,S73 9LG,100052201818,Yes,LAL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-13:00,09:30-12:30,,,,,,,,,,No,,"Closed for lunch 13.00 - 14.00, Mon, Tues & Thurs",https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Dodworth,High Street,Barnsley,South Yorkshire,S75 3RF,100052116975,Yes,LAL,,,10:00-17:00,10:00-13:00,,10:00-17:00,10:00-17:00,09:30-12:30,,,,,,,,,,No,,"Closed for lunch 13.00 - 14.00, Mon, Thurs & Fri",https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Goldthorpe,Barnsley Road,Rotherham,South Yorkshire,S63 9NE,10032777091,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-13:00,09:00-19:00,09:00-13:00,09:30-12:30,,,,,,,,,,Yes,Area Council Team,,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Grimethorpe,"The Acorn Centre, High Street",Barnsley,South Yorkshire,S72 7BB,100052202038,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,,,,,,,,,,,Yes,Adult Skills & Community Learning,,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Hoyland,High Croft,Barnsley,South Yorkshire,S74 9AF,100052116064,No,LAL,,2011,,,,,,,,,,,,,,,,No,,Replaced by new Hoyland library,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Hoyland,High Croft,Barnsley,South Yorkshire,S74 9AF,100052116064,Yes,LAL,,,09:00-19:00,09:00-17:00,,09:00-17:00,09:00-17:00,09:30-12:30,,,,,,,,,,Yes,"Health Services, GP Surgeries",New building to replace old library,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
Barnsley Metropolitan Borough Council,Kendray,Thornton Road,Barnsley,South Yorkshire,S70 3NG,2007005897,No,LAL,,2015,,,,,,,,,,,,,,,,No,,,https://www.barnsley.gov.uk/services/libraries/,BarnsleyLibraryEnquiries@barnsley.gov.uk
