Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Bath and North East Somerset Council,Bath Central Library,Podium Centre,Bath,Somerset,BA1 5AN,10001145438,Yes,LAL,,,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-17:00,13:00-16:00,,,,,,,,,No,,,,councilconnect@bathnes.gov.uk
Bath and North East Somerset Council,Bishop Sutton Community Library,"The Link, The Street",Bishop Sutton,Somerset,BS39 5UU,10001143373,Yes,CRL,2018,,,,,14:00-16:30,,10:00-12:00,,,,,,,,,,No,,Run by volunteers,,librarybishopsutton@gmail.com
Bath and North East Somerset Council,Chew Stoke Community Library,Stoke Inn,Chew Stoke,Somerset,BS40 8XE,100120051925,No,ICL,,2018,,,,,,,,,,,,,,,,No,,Run by volunteers,,
Bath and North East Somerset Council,Combe Hay Community Library,Combe Hay Church,Combe Hay,Somerset,BA2 7EG,10001144703,No,ICL,,,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,,,,,,,,No,,,,Bath_Library@BATHNES.GOV.UK
Bath and North East Somerset Council,Keynsham Library & Information Centre,Market Walk,Keynsham,Somerset,BS31 1FS,10091546109,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:30,09:30-16:30,,,,,,,,,,No,,Moved to new build location in 2014.  Merged with B&NES One Stop Shop Services.,,councilconnect@bathnes.gov.uk
Bath and North East Somerset Council,Larkhall Community Library,New Oriel Hall,Bath,Somerset,BA1 6RA,10001146782,No,ICL,,,,09:00-14:00,,09:00-14:00,09:00-16:30,09:00-14:00,,,,,,,,,,No,,,,Bath_Library@BATHNES.GOV.UK
Bath and North East Somerset Council,Love Weston Library,Church Street,Weston,Somerset,BA1 4BU,100120006076,Yes,CRL,,,,10:00-14:00,,14:00-18:00,,10:00-14:00,,,,,,,,,,No,,Moved from LAL to CRL in 2018,https://lovewestonlibrary.org.uk/,librarydesk@lovewestonlibrary.org.uk
Bath and North East Somerset Council,Midsomer Norton Library & Information Centre,"The Hollies, High Street",Midsomer Norton,Somerset,BA3 2DP,10001123837,Yes,LAL,,,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:30,09:30-13:00,,,,,,,,,,Yes,Variety of Council Services already working from that location.,Moved from former library to newly refurbished location in 2018. Merged with B&NES One Stop Shop Services.,,councilconnect@bathnes.gov.uk
Bath and North East Somerset Council,Moorland Road Community Library,Moorland Road,Bath,Somerset,BA2 3PL,100121174752,Yes,CRL,,,,09:00-14:00,,09:00-14:00,09:00-16:30,09:00-14:00,,,,,,,,,,No,,Moved from LAL to CRL in 2019,https://www.moorlandroadcommunitylibrary.com/,moorlandroadcommunitylibrary@gmail.com
Bath and North East Somerset Council,Paulton Library @ The Hub,"Unit 1 & 2 Hillcourt, High Street",Paulton,Somerset,BS39 7QG,100121179908,Yes,LAL,,,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:30,09:30-12:30,,,,,,,,,,No,,,,councilconnect@bathnes.gov.uk
Bath and North East Somerset Council,Peasedown St. John Community Library,33a St. John's Close,Peasedown St. John,Somerset,BA2 8JG,10001127346,Yes,CRL,2019,,13:00-16:00,,13:00-16:00,,,10:00-12:00,,,,,,,,,,No,,,https://www.facebook.com/PSJCommunityLibrary/,peasedownlibrary@hotmail.com
Bath and North East Somerset Council,Radstock Community Hub,The Street,Radstock,Somerset,BA3 3PR,10001132133,Yes,CRL,,,,09:00-16:00,09:00-16:00,09:00-16:00,,,,,,,,,,,,No,,Moved from LAL to CRL in 2019,,council@radstock-tc.gov.uk ï¿½
Bath and North East Somerset Council,Saltford Community Library & Post Office,478a Bath Road,Saltford,Somerset,BS31 3DJ,100121179356,Yes,CRL,,,09:00-17:00,09:00-17:00,09:00-17:00,,09:00-17:00,09:30-12:00,,,,,,,,,,Yes,Post Office,Moved from LAL to CRL in 2018.  Opened Post office as part of business plan.,,library@saltfordhub.org
Bath and North East Somerset Council,Southside Community Library,"Southside Youth Hub, Kelston View",Bath,Somerset,BA2 1NR,100121173967,No,ICL,,,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,,,,,,,,,,,No,,,,Bath_Library@BATHNES.GOV.UK
Bath and North East Somerset Council,Timsbury Community Library,North Road,Timsbury,Somerset,BA2 0JH,100121176847,Yes,CRL,2018,,14:00-17:00,14:00-17:00,,14:00-17:00,,09:30-12:30,,,,,,,,,,No,,Run by volunteers,https://www.timsbury.org.uk/hub/,"ï¿½hub@timsbury.org.uk
"
