Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
"Bournemouth, Christchurch and Poole Council",Boscombe Library,Hawkwood Road,Bournemouth,Dorset,BH5 1BY,10022904945,Yes,LAL,,,10:00-19:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,10:00-14:00,,,,,,,,,,No,,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/BoscombeLibrary.aspx,boscombe@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole Council",Bournemouth Library,22 The Triangle,Bournemouth,Dorset,BH2 5RQ,10014276961,Yes,LAL,,,10:00-19:00,09:30-19:00,09:30-19:00,09:30-19:00,09:30-17:00,10:00-17:00,,,,,,,,,,Yes,Citizen's Advice,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/BournemouthLibrary.aspx,bournemouth@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole Council",Branksome Library,212 Ashley Road,Poole,Dorset,BH14 9BY,10001092636,Yes,LAL,,,10:00-18:00,10:00-18:00,10:00-18:00,,10:00-18:00,10:00-13:00,,,,,,,,,,No,,,,branksomelibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole Council",Broadstone Library,10 Story Lane,Poole,Dorset,BH18 8EQ,100041095775,Yes,LAL,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-14:00,,,,,,,,,,No,,,,broadstonelibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole Council",Canford Cliffs Library,Weston Road,Poole,Dorset,BH13 7BN,100041091145,Yes,LAL,,,10:00-18:00,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,,canfordcliffslibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole Council",Canford Heath Library,Mitchell Road,Poole,Dorset,BH17 8UE,100041056196,Yes,LAL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-18:00,10:00-13:00,,,,,,,,,,No,,,,canfordheathlibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole Council",Castlepoint Library,Castle Lane West,Bournemouth,Dorset,BH8 9UP,10013450576,Yes,LAL,,,10:00-19:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-19:00,10:00-14:00,,,,,,,,,,Yes,Housing Services,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/CastlepointLibrary.aspx,castlepoint@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole Council",Charminster Library,Strouden Avenue,Bournemouth,Dorset,BH8 9HT,100041112456,Yes,LAL,,,10:00-17:00,09:30-19:00,,09:30-19:00,09:30-19:00,09:30-13:00,,,,,,,,,,No,,,http://www.bournemouth.gov.uk/Libraries/MyLocalLibrary/CharminsterLibrary.aspx,charminster@bournemouthlibraries.org.uk
"Bournemouth, Christchurch and Poole Council",Christchurch,Druitt Buildings High Street,Christchurch,Dorset,BH23 1AW,100041102406,Yes,LAL,,,09:30-17:30,10:00-19:00,09:30-13:00,09:30-19:00,09:30-17:30,09:00-16:00,,,,,,,,,,Yes,Skills & Learning & Citizen's Advice,,,christchurchlibrary@bcpcouncil.gov.uk
"Bournemouth, Christchurch and Poole Council",Creekmoor Library,34 Northmead Drive,Poole,Dorset,BH17 7XZ,10001092208,Yes,LAL,,,10:00-18:00,10:00-16:30,10:00-16:30,10:00-16:30,10:00-16:30,10:00-13:00,,,,,,,,,,Yes,Stour Valley & Poole Partnership,,,creekmoorlibrary@bcpcouncil.gov.uk
