Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Bristol City Council,Avonmouth,Avonmouth Road,Avonmouth,Bristol,BS11 9EN,,Yes,LAL,,,10:00-14:00,13:00-17:00,10:00-14:00,,13:00-17:00,13:00-17:00,,,,,,,,,,No,,,,avonmouth.library@bristol.gov.uk
Bristol City Council,Bedminster,St Peter's Court,Bedminster,Bristol,BS3 4AQ,,Yes,LAL,,,10:00-19:00,,10:00-19:00,10:00-17:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,,,bedminster.library@bristol.gov.uk
Bristol City Council,Bishopston,Gloucester Road,Bishopston,Bristol,BS7 8BN,,Yes,LAL,2017,,13:00-19:00,,11:00-17:00,11:00-17:00,11:00-17:00,11:00-17:00,,,,,,,,,,No,,,,bishopston.library@bristol.gov.uk
Bristol City Council,Bishopsworth,Bishopsworth Road,Bishopsworth,Bristol,BS13 7LN,,Yes,LAL,,,10:00-17:00,,11:00-17:00,,10:00-17:00,11:00-17:00,,,,,,,,,,No,,,,bishopsworth.library@bristol.gov.uk
Bristol City Council,Bristol Central,College Green,,Bristol,BS1 5TL,199356,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,09:30-19:00,09:30-17:00,10:00-17:00,13:00-17:00,,,,,,,,,No,,,,lending.library@bristol.gov.uk
Bristol City Council,Cheltenham Road,Cheltenham Road,,Bristol,BS6 5QX,,No,LAL,,2017,,,,,,,,,,,,,,,,No,,,,
Bristol City Council,Clifton,Princess Victoria Street,Clifton,Bristol,BS8 4BX,,Yes,LAL,,,10:00-14:00,13:00-17:00,,13:00-17:00,10:00-14:00,13:00-17:00,,,,,,,,,,No,,,,clifton.library@bristol.gov.uk
Bristol City Council,Eastville,,,,BS5 6XP,,No,LAL,,2016,,,,,,,,,,,,,,,,No,,,,
Bristol City Council,Filwood,Filwood Broadway,Filwood,Bristol,BS4 1JN,,Yes,LAL,,,11:00-17:00,,11:00-17:00,,11:00-17:00,10:00-14:00,,,,,,,,,,No,,,,filwood.library@bristol.gov.uk
Bristol City Council,Fishponds,Robinson House,Hockeys Lane,Bristol,BS16 3HL,,Yes,LAL,,,10:00-17:00,10:00-17:00,,11:00-19:00,10:00-17:00,10:00-17:00,,,,,,,,,,No,,,,fishponds.library@bristol.gov.uk
Bristol City Council,Hartcliffe,"Symes District Centre, Peterson Square",Hartcliffe,Bristol,BS13 0BE,,Yes,LAL,,,13:00-17:00,,10:00-14:00,13:00-17:00,13:00-17:00,11:00-17:00,,,,,,,,,,No,,,,hartcliffe.library@bristol.gov.uk
Bristol City Council,Henbury,Crow Lane,Henbury,Bristol,BS10 7DR,,Yes,LAL,,,11:00-17:00,,11:00-19:00,,11:00-17:00,11:00-17:00,,,,,,,,,,No,,,,henbury.library@bristol.gov.uk
Bristol City Council,Henleaze,Northumbria Drive,Henleaze,Bristol,BS9 4HP,,Yes,LAL,,,11:00-17:00,11:00-17:00,13:00-19:00,11:00-17:00,13:00-19:00,10:00-17:00,,,,,,,,,,No,,,,henleaze.library@bristol.gov.uk
Bristol City Council,Hillfields,Summerleaze,Hillfields,Bristol,BS16 4HL,,Yes,LAL,,,,10:00-17:00,10:00-17:00,,,11:00-17:00,,,,,,,,,,No,,,,hillfields.library@bristol.gov.uk
Bristol City Council,Horfield,Filton Avenue,Horfield,Bristol,BS7 0BD,,Yes,LAL,,,11:00-17:00,11:00-17:00,,10:00-17:00,,10:00-17:00,,,,,,,,,,No,,,,horfield.library@bristol.gov.uk
Bristol City Council,Junction 3,Baptist Mills,Easton,Bristol,BS5 0JF,,Yes,LAL,,,13:00-19:00,11:00-17:00,13:00-19:00,,11:00-17:00,10:00-17:00,,,,,,,,,,No,,,,junction3@bristol.gov.uk
