Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Buckinghamshire County Council,Amersham Temporary Library,"King George V House, King George V Road",Amersham,Buckinghamshire,HP6 5AW,,Yes,LAL,,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,10:00-16:00,,,,,,,,,,Yes,Chiltern District Council,"Temporary move to an adjacent building, pending the construction of the Chiltern Lifestyle Centre.",https://www.buckscc.gov.uk/services/libraries/find-a-library/amersham/,lib-ame@buckscc.gov.uk
Buckinghamshire County Council,Aylesbury Library,Walton Street,Aylesbury,Buckinghamshire,HP20 1UU,,Yes,LAL,,,09:30-17:00,09:30-19:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-16:00,,,,,,,,,,No,,Significant refurbishment of the library between August 2018 and January 2019,https://www.buckscc.gov.uk/services/libraries/find-a-library/aylesbury/,lib-ayl@buckscc.gov.uk
Buckinghamshire County Council,Aylesbury Study Centre,"New County Hall, Walton Street",Aylesbury,Buckinghamshire,HP20 1UU,,No,LAL,,2019,,,,,,,,,,,,,,,,No,,Service merged with Aylesbury Library following Aylesbury Library refurbishment in January 2019,,
Buckinghamshire County Council,Beaconsfield Library,Reynolds Road,Beaconsfield,Buckinghamshire,HP9 2NJ,,Yes,LAL,,,,09:30-19:00,09:30-13:00,09:30-17:00,09:30-17:00,10:00-16:00,,,,,,,,,,No,,,https://www.buckscc.gov.uk/services/libraries/find-a-library/beaconsfield/,lib-bea@buckscc.gov.uk
Buckinghamshire County Council,Beacon Villages Community Library,"Old Town Hall, High Street",Ivinghoe,Buckinghamshire,LU7 9EP,,Yes,CRL,,,,14:00-17:00,10:00-12:00,14:00-17:00,14:00-19:00,10:00-13:00,,,,,,,,,,No,,,https://bvcl.org.uk/,info@bvcl.org.uk
Buckinghamshire County Council,Bourne End Community Library,Wakeman Road,Bourne End,Buckinghamshire,SL8 5SX,,Yes,CRL,,,,09:30-19:00,09:30-13:00,09:30-17:00,09:30-17:00,09:30-14:00,,,,,,,,,,No,,,https://www.buckscc.gov.uk/services/libraries/find-a-library/bourne-end/,lib-boe@buckscc.gov.uk
Buckinghamshire County Council,Buckingham Library,Verney Close,Buckingham,Buckinghamshire,MK18 1JP,,Yes,LAL,,,,10:00-19:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-14:00,,,,,,,,,,No,,,https://www.buckscc.gov.uk/services/libraries/find-a-library/buckingham/,lib-buc@buckscc.gov.uk
Buckinghamshire County Council,Burnham Community Library,Windsor Lane,Burnham,Buckinghamshire,SL1 7HR,,Yes,CRL,,,,09:30-19:00,09:30-17:00,09:30-17:00,09:30-17:00,10:00-16:00,,,,,,,,,,No,,,https://www.buckscc.gov.uk/services/libraries/find-a-library/burnham/,lib-bur@buckscc.gov.uk
Buckinghamshire County Council,Castlefield Community Library,"Castlefield Community Centre, Rutland Avenue",High Wycombe,Buckinghamshire,HP12 3LL,,Yes,CRL,,,,14:00-20:00,,14:00-20:00,,12:30-17:30,,,,,,,,,,No,,,https://www.buckscc.gov.uk/services/libraries/find-a-library/castlefield/,ccl@karima.org.uk
Buckinghamshire County Council,Chalfont St Giles Community Library,High Street,Chalfont St. Giles,Buckinghamshire,HP8 4QA,,Yes,CRL,,,,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-16:00,,,,,,,,,,No,,,http://www.chalfontstgiles.org.uk/CSG-Library.html,csglib@hotmail.co.uk
