Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Central Bedfordshire Council,Ampthill Library,1 Dunstable Street,Ampthill,Bedfordshire,MK45 2NL,100081213546,Yes,LAL,1950,,,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,ampthill.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Arlesey Library Access Point,High Street,Arlesey ,Bedfordshire,SG15 6SN,,Yes,CRL,1971,,,13:00-17:30,09:00-13:00,13:00-17:30,09:00-13:00,10:00-13:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,enquiries@arleseyresourcecentre.org.uk
Central Bedfordshire Council,Barton Library,Bedford Road,Barton,Bedfordshire,MK45 4PP,,Yes,LAL,1973,,,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,barton.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Biggleswade Library,Chestnut Avenue,Biggleswade,Bedfordshire,SG18 0LL,,Yes,LAL,1968,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,biggleswade.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Dunstable Library,"The Dunstable Centre, Court Drive",Dunstable,Bedfordshire,LU5 4JD,,Yes,LAL,1966,,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,07:00-21:00,07:00-21:00,,,,,,,,,Yes,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,dunstable.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Flitwick Library,Coniston Road,Flitwick,Bedfordshire,MK45 1QJ,,Yes,LAL,1982,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,flitwick.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Houghton Regis Library,Bedford Square,Houghton Regis,Bedfordshire,LU5 5ES,,Yes,LAL,1966,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,houghtonregis.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Leighton Buzzard Library,Lake Street,Leighton Buzzard,Bedfordshire,LU7 1RX,,Yes,LAL,1979,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,leightonbuzzard.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Potton Library,Clock House,Potton,Bedfordshire,SG19 2NP,,Yes,LAL,1956,,,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,potton.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Sandy Library,Market Square,Sandy,Bedfordshire,SG19 1EH,,Yes,LAL,1965,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,sandy.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Shefford Library,High Street,Shefford,Bedfordshire,SG17 5DD,,Yes,LAL,1990,,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,shefford.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Stotfold Library,Hitchin Road,Stotfold,Bedfordshire,SG5 4HP,,Yes,LAL,1966,,,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,stotfold.library@centralbedfordshire.gov.uk
Central Bedfordshire Council,Toddington Library,9 Market Square,Toddington,Bedfordshire,LU5 6BP,,Yes,LAL,1972,,,09:00-13:00,14:00-18:00,09:00-13:00,09:00-18:00,09:00-16:00,,,,,,,,,,No,,,http://virtual-library.culturalservices.net/cgi-bin/vlib.sh,toddington.library@centralbedfordshire.gov.uk
